fatura_id,customerID,data_vencimento,data_pagamento,valor_fatura,status
INV-0000025,6614-YWYSC,2023-11-15,2023-11-09,25.18,Pago em Dia
INV-0000026,6614-YWYSC,2023-10-15,2023-10-10,25.83,Pago em Dia
INV-0000027,6614-YWYSC,2023-09-15,2023-09-10,24.91,Pago em Dia
INV-0000028,6614-YWYSC,2023-08-15,2023-08-10,26.07,Pago em Dia
INV-0000029,6614-YWYSC,2023-07-15,2023-07-10,24.4,Pago em Dia
INV-0000030,6614-YWYSC,2023-06-15,2023-06-16,24.01,Pago com Atraso
INV-0000031,6614-YWYSC,2023-05-15,2023-05-13,25.42,Pago em Dia
INV-0000032,6614-YWYSC,2023-04-15,2023-04-12,25.37,Pago em Dia
INV-0000033,6614-YWYSC,2023-03-15,2023-03-09,25.94,Pago em Dia
INV-0000034,6614-YWYSC,2023-02-15,2023-02-10,24.43,Pago em Dia
INV-0000035,6614-YWYSC,2023-01-15,2023-01-14,24.81,Pago em Dia
INV-0000036,6614-YWYSC,2022-12-15,2022-12-11,25.04,Pago em Dia
INV-0000037,6614-YWYSC,2022-11-15,2022-11-13,25.85,Pago em Dia
INV-0000038,6614-YWYSC,2022-10-15,2022-10-14,24.07,Pago em Dia
INV-0000039,6614-YWYSC,2022-09-15,2022-09-11,24.84,Pago em Dia
INV-0000040,6614-YWYSC,2022-08-15,2022-08-10,25.76,Pago em Dia
INV-0000041,6614-YWYSC,2022-07-15,2022-07-09,24.7,Pago em Dia
INV-0000042,6614-YWYSC,2022-06-15,2022-06-18,24.65,Pago com Atraso
INV-0000043,6614-YWYSC,2022-05-15,2022-05-11,26.2,Pago em Dia
INV-0000044,6614-YWYSC,2022-04-15,2022-04-08,24.83,Pago em Dia
INV-0000045,6614-YWYSC,2022-03-15,2022-03-10,25.57,Pago em Dia
INV-0000046,6614-YWYSC,2022-02-15,2022-02-11,23.57,Pago em Dia
INV-0000047,6614-YWYSC,2022-01-15,2022-01-12,24.51,Pago em Dia
INV-0000048,6614-YWYSC,2021-12-15,2021-12-13,26.43,Pago em Dia
INV-0000049,6614-YWYSC,2021-11-15,2021-11-09,25.68,Pago em Dia
INV-0000050,6614-YWYSC,2021-10-15,2021-10-14,23.69,Pago em Dia
INV-0000051,6614-YWYSC,2021-09-15,2021-09-11,25.92,Pago em Dia
INV-0000052,6614-YWYSC,2021-08-15,2021-08-09,25.27,Pago em Dia
INV-0000053,6614-YWYSC,2021-07-15,2021-07-14,24.63,Pago em Dia
INV-0000054,6614-YWYSC,2021-06-15,2021-06-13,25.15,Pago em Dia
INV-0000055,6614-YWYSC,2021-05-15,2021-05-11,24.92,Pago em Dia
INV-0000056,6614-YWYSC,2021-04-15,2021-04-13,24.55,Pago em Dia
INV-0000057,6614-YWYSC,2021-03-15,2021-03-08,24.42,Pago em Dia
INV-0000058,6614-YWYSC,2021-02-15,2021-02-14,25.19,Pago em Dia
INV-0000059,6614-YWYSC,2021-01-15,2021-01-17,24.89,Pago com Atraso
INV-0000060,6614-YWYSC,2020-12-15,2020-12-14,24.41,Pago em Dia
INV-0000061,6614-YWYSC,2020-11-15,2020-11-11,25.53,Pago em Dia
INV-0000062,9546-KDTRB,2025-11-15,2025-11-19,24.91,Pago com Atraso
INV-0000063,9546-KDTRB,2025-10-15,2025-10-12,24.55,Pago em Dia
INV-0000064,9546-KDTRB,2025-09-15,2025-09-12,22.98,Pago em Dia
INV-0000065,9546-KDTRB,2025-08-15,2025-08-10,24.23,Pago em Dia
INV-0000066,9546-KDTRB,2025-07-15,2025-07-20,25.06,Pago com Atraso
INV-0000067,9546-KDTRB,2025-06-15,2025-06-11,24.75,Pago em Dia
INV-0000068,9546-KDTRB,2025-05-15,2025-05-10,24.47,Pago em Dia
INV-0000069,9546-KDTRB,2025-04-15,2025-04-12,24.76,Pago em Dia
INV-0000070,9546-KDTRB,2025-03-15,2025-03-13,24.55,Pago em Dia
INV-0000071,9546-KDTRB,2025-02-15,2025-02-13,24.87,Pago em Dia
INV-0000072,9546-KDTRB,2025-01-15,2025-01-12,24.7,Pago em Dia
INV-0000073,9546-KDTRB,2024-12-15,2024-12-13,27.05,Pago em Dia
INV-0000074,9546-KDTRB,2024-11-15,2024-11-10,24.79,Pago em Dia
INV-0000075,9546-KDTRB,2024-10-15,2024-10-28,24.52,Pago com Atraso
INV-0000076,9546-KDTRB,2024-09-15,2024-09-10,25.2,Pago em Dia
INV-0000077,9546-KDTRB,2024-08-15,2024-08-13,23.92,Pago em Dia
INV-0000078,9546-KDTRB,2024-07-15,2024-07-10,25.51,Pago em Dia
INV-0000079,9546-KDTRB,2024-06-15,2024-06-10,24.87,Pago em Dia
INV-0000080,9546-KDTRB,2024-05-15,2024-05-28,24.97,Pago com Atraso
INV-0000081,0871-URUWO,2025-11-15,2025-11-08,99.66,Pago em Dia
INV-0000082,0871-URUWO,2025-10-15,2025-10-10,100.62,Pago em Dia
INV-0000083,0871-URUWO,2025-09-15,2025-09-29,104.73,Pago com Atraso
INV-0000084,0871-URUWO,2025-08-15,2025-08-21,101.68,Pago com Atraso
INV-0000085,0871-URUWO,2025-07-15,2025-07-08,99.88,Pago em Dia
INV-0000086,0871-URUWO,2025-06-15,2025-06-09,101.63,Pago em Dia
INV-0000087,0871-URUWO,2025-05-15,2025-05-30,102.05,Pago com Atraso
INV-0000088,0871-URUWO,2025-04-15,2025-04-14,100.01,Pago em Dia
INV-0000089,0871-URUWO,2025-03-15,2025-03-10,100.64,Pago em Dia
INV-0000090,0871-URUWO,2025-02-15,2025-02-13,102.04,Pago em Dia
INV-0000091,0871-URUWO,2025-01-15,2025-01-08,97.85,Pago em Dia
INV-0000092,0871-URUWO,2024-12-15,2024-12-10,102.68,Pago em Dia
INV-0000093,0871-URUWO,2024-11-15,2024-11-14,102.69,Pago em Dia
INV-0000094,5151-HQRDG,2025-11-15,2025-11-11,55.09,Pago em Dia
INV-0000095,5151-HQRDG,2025-10-15,2025-10-11,52.74,Pago em Dia
INV-0000096,5151-HQRDG,2025-09-15,2025-09-11,53.91,Pago em Dia
INV-0000097,5151-HQRDG,2025-08-15,2025-08-13,55.6,Pago em Dia
INV-0000098,5151-HQRDG,2025-07-15,2025-07-27,53.8,Pago com Atraso
INV-0000099,5151-HQRDG,2025-06-15,2025-06-14,52.83,Pago em Dia
INV-0000100,5151-HQRDG,2025-05-15,2025-05-12,54.33,Pago em Dia
INV-0000101,5151-HQRDG,2025-04-15,2025-04-21,54.46,Pago com Atraso
INV-0000102,5151-HQRDG,2025-03-15,2025-03-08,56.72,Pago em Dia
INV-0000103,5151-HQRDG,2025-02-15,2025-02-14,56.31,Pago em Dia
INV-0000104,5151-HQRDG,2025-01-15,2025-01-10,54.16,Pago em Dia
INV-0000105,5151-HQRDG,2024-12-15,2024-12-10,55.79,Pago em Dia
INV-0000106,5151-HQRDG,2024-11-15,2024-11-08,55.01,Pago em Dia
INV-0000107,5151-HQRDG,2024-10-15,2024-10-12,55.15,Pago em Dia
INV-0000108,5151-HQRDG,2024-09-15,2024-09-09,54.9,Pago em Dia
INV-0000109,5151-HQRDG,2024-08-15,2024-09-03,54.45,Pago com Atraso
INV-0000110,5151-HQRDG,2024-07-15,2024-07-08,55.59,Pago em Dia
INV-0000111,5151-HQRDG,2024-06-15,2024-06-18,57.0,Pago com Atraso
INV-0000112,5151-HQRDG,2024-05-15,2024-06-02,56.09,Pago com Atraso
INV-0000113,5151-HQRDG,2024-04-15,2024-04-11,55.59,Pago em Dia
INV-0000114,5151-HQRDG,2024-03-15,2024-03-11,56.13,Pago em Dia
INV-0000115,5151-HQRDG,2024-02-15,2024-02-14,51.61,Pago em Dia
INV-0000116,5151-HQRDG,2024-01-15,2024-01-31,54.15,Pago com Atraso
INV-0000117,5151-HQRDG,2023-12-15,2023-12-13,54.65,Pago em Dia
INV-0000118,5151-HQRDG,2023-11-15,2023-11-09,54.17,Pago em Dia
INV-0000119,5151-HQRDG,2023-10-15,2023-10-13,53.51,Pago em Dia
INV-0000120,5151-HQRDG,2023-09-15,2023-09-08,55.44,Pago em Dia
INV-0000121,5151-HQRDG,2023-08-15,2023-08-13,54.54,Pago em Dia
INV-0000122,5151-HQRDG,2023-07-15,2023-07-10,55.0,Pago em Dia
INV-0000123,5151-HQRDG,2023-06-15,2023-06-10,55.48,Pago em Dia
INV-0000124,5151-HQRDG,2023-05-15,2023-05-11,53.82,Pago em Dia
INV-0000125,5151-HQRDG,2023-04-15,2023-04-10,54.49,Pago em Dia
INV-0000126,5151-HQRDG,2023-03-15,2023-03-10,54.2,Pago em Dia
INV-0000127,5151-HQRDG,2023-02-15,2023-02-12,54.94,Pago em Dia
INV-0000128,5151-HQRDG,2023-01-15,2023-01-09,56.11,Pago em Dia
INV-0000129,5151-HQRDG,2022-12-15,2022-12-16,53.62,Pago com Atraso
INV-0000130,5151-HQRDG,2022-11-15,2022-11-08,54.3,Pago em Dia
INV-0000131,6624-JDRDS,2025-11-15,2025-11-09,30.12,Pago em Dia
INV-0000132,6624-JDRDS,2025-10-15,2025-10-12,29.62,Pago em Dia
INV-0000133,6624-JDRDS,2025-09-15,2025-09-11,29.89,Pago em Dia
INV-0000134,6624-JDRDS,2025-08-15,2025-08-09,29.54,Pago em Dia
INV-0000135,6624-JDRDS,2025-07-15,2025-07-11,29.05,Pago em Dia
INV-0000136,6624-JDRDS,2025-06-15,2025-06-11,28.81,Pago em Dia
INV-0000137,3082-VQXNH,2025-11-15,2025-11-08,29.32,Pago em Dia
INV-0000138,3082-VQXNH,2025-10-15,2025-10-13,28.93,Pago em Dia
INV-0000139,3082-VQXNH,2025-09-15,2025-09-14,29.47,Pago em Dia
INV-0000140,1309-XGFSN,2025-11-15,2025-11-23,80.08,Pago com Atraso
INV-0000141,1309-XGFSN,2025-10-15,2025-10-30,81.45,Pago com Atraso
INV-0000142,1309-XGFSN,2025-09-15,2025-09-09,81.32,Pago em Dia
INV-0000143,1309-XGFSN,2025-08-15,2025-08-11,80.76,Pago em Dia
INV-0000144,1309-XGFSN,2025-07-15,2025-07-10,81.25,Pago em Dia
INV-0000145,1309-XGFSN,2025-06-15,2025-06-08,83.0,Pago em Dia
INV-0000146,1309-XGFSN,2025-05-15,2025-05-12,80.5,Pago em Dia
INV-0000147,1309-XGFSN,2025-04-15,2025-04-11,82.74,Pago em Dia
INV-0000148,1309-XGFSN,2025-03-15,2025-03-14,79.93,Pago em Dia
INV-0000149,1309-XGFSN,2025-02-15,2025-02-12,84.99,Pago em Dia
INV-0000150,1309-XGFSN,2025-01-15,2025-01-11,79.4,Pago em Dia
INV-0000151,1309-XGFSN,2024-12-15,2024-12-10,82.23,Pago em Dia
INV-0000152,1309-XGFSN,2024-11-15,2024-11-14,78.29,Pago em Dia
INV-0000153,1309-XGFSN,2024-10-15,2024-10-09,81.6,Pago em Dia
INV-0000154,1309-XGFSN,2024-09-15,2024-09-11,84.38,Pago em Dia
INV-0000155,1309-XGFSN,2024-08-15,2024-08-08,76.2,Pago em Dia
INV-0000156,1309-XGFSN,2024-07-15,2024-07-10,82.79,Pago em Dia
INV-0000157,1309-XGFSN,2024-06-15,2024-06-08,82.84,Pago em Dia
INV-0000158,1309-XGFSN,2024-05-15,2024-05-12,81.22,Pago em Dia
INV-0000159,1309-XGFSN,2024-04-15,2024-04-14,80.26,Pago em Dia
INV-0000160,1309-XGFSN,2024-03-15,2024-03-09,80.21,Pago em Dia
INV-0000161,1309-XGFSN,2024-02-15,2024-03-05,81.06,Pago com Atraso
INV-0000162,1309-XGFSN,2024-01-15,2024-01-12,82.9,Pago em Dia
INV-0000163,1309-XGFSN,2023-12-15,2024-01-02,81.19,Pago com Atraso
INV-0000164,1309-XGFSN,2023-11-15,2023-11-10,81.66,Pago em Dia
INV-0000165,1309-XGFSN,2023-10-15,2023-10-10,81.33,Pago em Dia
INV-0000166,1309-XGFSN,2023-09-15,2023-09-11,80.74,Pago em Dia
INV-0000167,1309-XGFSN,2023-08-15,2023-08-11,80.66,Pago em Dia
INV-0000168,1309-XGFSN,2023-07-15,2023-07-09,82.56,Pago em Dia
INV-0000169,1309-XGFSN,2023-06-15,2023-06-11,80.55,Pago em Dia
INV-0000170,1309-XGFSN,2023-05-15,2023-05-29,79.61,Pago com Atraso
INV-0000171,1309-XGFSN,2023-04-15,2023-04-10,81.16,Pago em Dia
INV-0000172,1309-XGFSN,2023-03-15,2023-03-11,81.28,Pago em Dia
INV-0000173,1309-XGFSN,2023-02-15,2023-02-08,81.2,Pago em Dia
INV-0000174,1309-XGFSN,2023-01-15,2023-01-11,81.53,Pago em Dia
INV-0000175,1309-XGFSN,2022-12-15,2022-12-09,80.64,Pago em Dia
INV-0000176,1309-XGFSN,2022-11-15,2022-11-13,80.71,Pago em Dia
INV-0000177,1309-XGFSN,2022-10-15,2022-10-14,82.31,Pago em Dia
INV-0000178,1309-XGFSN,2022-09-15,2022-09-30,81.99,Pago com Atraso
INV-0000179,1309-XGFSN,2022-08-15,2022-08-10,82.89,Pago em Dia
INV-0000180,1309-XGFSN,2022-07-15,2022-07-17,80.7,Pago com Atraso
INV-0000181,1309-XGFSN,2022-06-15,2022-06-10,81.25,Pago em Dia
INV-0000182,1309-XGFSN,2022-05-15,2022-05-18,83.39,Pago com Atraso
INV-0000183,1309-XGFSN,2022-04-15,2022-04-11,80.43,Pago em Dia
INV-0000184,1309-XGFSN,2022-03-15,2022-03-13,81.7,Pago em Dia
INV-0000185,1309-XGFSN,2022-02-15,2022-02-10,79.05,Pago em Dia
INV-0000186,1309-XGFSN,2022-01-15,2022-01-10,78.21,Pago em Dia
INV-0000187,1309-XGFSN,2021-12-15,2021-12-11,81.63,Pago em Dia
INV-0000188,1309-XGFSN,2021-11-15,2021-11-09,81.47,Pago em Dia
INV-0000189,1309-XGFSN,2021-10-15,2021-10-14,80.7,Pago em Dia
INV-0000190,1309-XGFSN,2021-09-15,2021-09-09,80.47,Pago em Dia
INV-0000191,1309-XGFSN,2021-08-15,2021-08-13,82.11,Pago em Dia
INV-0000192,9402-ORRAH,2025-11-15,2025-11-13,94.7,Pago em Dia
INV-0000193,9402-ORRAH,2025-10-15,2025-10-24,89.6,Pago com Atraso
INV-0000194,9402-ORRAH,2025-09-15,2025-09-27,90.36,Pago com Atraso
INV-0000195,9402-ORRAH,2025-08-15,2025-08-09,92.66,Pago em Dia
INV-0000196,9402-ORRAH,2025-07-15,2025-07-14,91.4,Pago em Dia
INV-0000197,9402-ORRAH,2025-06-15,2025-06-18,90.46,Pago com Atraso
INV-0000198,9402-ORRAH,2025-05-15,2025-05-22,90.68,Pago com Atraso
INV-0000199,9402-ORRAH,2025-04-15,2025-04-10,93.09,Pago em Dia
INV-0000200,9402-ORRAH,2025-03-15,2025-03-09,92.76,Pago em Dia
INV-0000201,9402-ORRAH,2025-02-15,2025-03-01,88.88,Pago com Atraso
INV-0000202,9402-ORRAH,2025-01-15,2025-01-18,92.51,Pago com Atraso
INV-0000203,9402-ORRAH,2024-12-15,2024-12-22,93.38,Pago com Atraso
INV-0000204,9402-ORRAH,2024-11-15,2024-11-13,91.99,Pago em Dia
INV-0000205,9402-ORRAH,2024-10-15,2024-10-11,93.56,Pago em Dia
INV-0000206,9402-ORRAH,2024-09-15,2024-09-08,89.28,Pago em Dia
INV-0000207,8663-UPDGF,2025-11-15,2025-11-12,68.48,Pago em Dia
INV-0000208,8663-UPDGF,2025-10-15,2025-10-10,70.6,Pago em Dia
INV-0000209,8663-UPDGF,2025-09-15,2025-09-09,68.53,Pago em Dia
INV-0000210,8663-UPDGF,2025-08-15,2025-08-14,66.5,Pago em Dia
INV-0000211,8663-UPDGF,2025-07-15,2025-07-12,69.32,Pago em Dia
INV-0000212,8663-UPDGF,2025-06-15,2025-06-14,69.49,Pago em Dia
INV-0000213,8663-UPDGF,2025-05-15,2025-05-28,72.43,Pago com Atraso
INV-0000214,8663-UPDGF,2025-04-15,2025-04-10,71.75,Pago em Dia
INV-0000215,8663-UPDGF,2025-03-15,2025-03-14,70.21,Pago em Dia
INV-0000216,8663-UPDGF,2025-02-15,2025-02-13,67.86,Pago em Dia
INV-0000217,8663-UPDGF,2025-01-15,2025-01-13,70.28,Pago em Dia
INV-0000218,8663-UPDGF,2024-12-15,2024-12-13,68.94,Pago em Dia
INV-0000219,8663-UPDGF,2024-11-15,2024-11-12,67.85,Pago em Dia
INV-0000220,8663-UPDGF,2024-10-15,2024-10-09,69.54,Pago em Dia
INV-0000221,8663-UPDGF,2024-09-15,2024-09-11,69.03,Pago em Dia
INV-0000222,8663-UPDGF,2024-08-15,2024-08-14,68.27,Pago em Dia
INV-0000223,8663-UPDGF,2024-07-15,2024-07-08,68.14,Pago em Dia
INV-0000224,8663-UPDGF,2024-06-15,2024-06-11,69.18,Pago em Dia
INV-0000225,8663-UPDGF,2024-05-15,2024-05-09,69.75,Pago em Dia
INV-0000226,8663-UPDGF,2024-04-15,2024-04-11,70.22,Pago em Dia
INV-0000227,8663-UPDGF,2024-03-15,2024-03-08,67.4,Pago em Dia
INV-0000228,8663-UPDGF,2024-02-15,2024-02-12,68.49,Pago em Dia
INV-0000229,8663-UPDGF,2024-01-15,2024-01-10,69.43,Pago em Dia
INV-0000230,8663-UPDGF,2023-12-15,2023-12-20,70.4,Pago com Atraso
INV-0000231,8663-UPDGF,2023-11-15,2023-11-10,68.92,Pago em Dia
INV-0000232,8663-UPDGF,2023-10-15,2023-10-19,69.33,Pago com Atraso
INV-0000233,0455-ENTCR,2025-11-15,2025-11-14,87.26,Pago em Dia
INV-0000234,0455-ENTCR,2025-10-15,2025-10-13,84.94,Pago em Dia
INV-0000235,0455-ENTCR,2025-09-15,2025-09-28,85.57,Pago com Atraso
INV-0000236,0455-ENTCR,2025-08-15,2025-08-12,84.9,Pago em Dia
INV-0000237,0455-ENTCR,2025-07-15,2025-07-11,83.04,Pago em Dia
INV-0000238,0455-ENTCR,2025-06-15,2025-06-24,85.21,Pago com Atraso
INV-0000239,0455-ENTCR,2025-05-15,2025-05-08,85.22,Pago em Dia
INV-0000240,0455-ENTCR,2025-04-15,2025-04-20,87.65,Pago com Atraso
INV-0000241,0455-ENTCR,2025-03-15,2025-03-10,85.31,Pago em Dia
INV-0000242,0455-ENTCR,2025-02-15,2025-02-14,86.72,Pago em Dia
INV-0000243,0455-ENTCR,2025-01-15,2025-01-20,83.65,Pago com Atraso
INV-0000244,0455-ENTCR,2024-12-15,2024-12-23,87.0,Pago com Atraso
INV-0000245,0455-ENTCR,2024-11-15,2024-11-08,86.13,Pago em Dia
INV-0000246,0455-ENTCR,2024-10-15,2024-10-19,86.39,Pago com Atraso
INV-0000247,0455-ENTCR,2024-09-15,2024-09-13,85.88,Pago em Dia
INV-0000248,0455-ENTCR,2024-08-15,2024-08-14,83.92,Pago em Dia
INV-0000249,0455-ENTCR,2024-07-15,2024-07-09,88.01,Pago em Dia
INV-0000250,0455-ENTCR,2024-06-15,2024-06-09,84.54,Pago em Dia
INV-0000251,0455-ENTCR,2024-05-15,2024-05-13,85.94,Pago em Dia
INV-0000252,0455-ENTCR,2024-04-15,2024-04-30,83.96,Pago com Atraso
INV-0000253,0455-ENTCR,2024-03-15,2024-03-08,84.0,Pago em Dia
INV-0000254,0455-ENTCR,2024-02-15,2024-02-11,86.63,Pago em Dia
INV-0000255,0455-ENTCR,2024-01-15,2024-01-14,86.33,Pago em Dia
INV-0000256,0455-ENTCR,2023-12-15,2023-12-25,85.54,Pago com Atraso
INV-0000257,0455-ENTCR,2023-11-15,2023-11-10,88.46,Pago em Dia
INV-0000258,0455-ENTCR,2023-10-15,2023-10-12,83.05,Pago em Dia
INV-0000259,0455-ENTCR,2023-09-15,2023-09-21,85.42,Pago com Atraso
INV-0000260,0455-ENTCR,2023-08-15,2023-08-12,85.75,Pago em Dia
INV-0000261,0455-ENTCR,2023-07-15,2023-07-08,85.62,Pago em Dia
INV-0000262,0455-ENTCR,2023-06-15,2023-06-11,83.73,Pago em Dia
INV-0000263,0455-ENTCR,2023-05-15,2023-05-08,83.18,Pago em Dia
INV-0000264,0455-ENTCR,2023-04-15,2023-04-11,84.37,Pago em Dia
INV-0000265,0455-ENTCR,2023-03-15,2023-03-09,84.53,Pago em Dia
INV-0000266,0455-ENTCR,2023-02-15,2023-02-28,86.07,Pago com Atraso
INV-0000267,0455-ENTCR,2023-01-15,2023-01-14,87.31,Pago em Dia
INV-0000268,0455-ENTCR,2022-12-15,2022-12-10,84.25,Pago em Dia
INV-0000269,0455-ENTCR,2022-11-15,2022-11-08,87.33,Pago em Dia
INV-0000270,0455-ENTCR,2022-10-15,2022-10-12,87.18,Pago em Dia
INV-0000271,0455-ENTCR,2022-09-15,2022-09-11,84.75,Pago em Dia
INV-0000272,0455-ENTCR,2022-08-15,2022-08-11,84.5,Pago em Dia
INV-0000273,0455-ENTCR,2022-07-15,2022-07-09,83.96,Pago em Dia
INV-0000274,0455-ENTCR,2022-06-15,2022-06-14,84.09,Pago em Dia
INV-0000275,0455-ENTCR,2022-05-15,2022-05-12,83.88,Pago em Dia
INV-0000276,0455-ENTCR,2022-04-15,2022-04-11,87.84,Pago em Dia
INV-0000277,0455-ENTCR,2022-03-15,2022-03-14,83.09,Pago em Dia
INV-0000278,0455-ENTCR,2022-02-15,2022-02-13,89.48,Pago em Dia
INV-0000279,0455-ENTCR,2022-01-15,2022-01-12,83.62,Pago em Dia
INV-0000280,0455-ENTCR,2021-12-15,2021-12-11,86.65,Pago em Dia
INV-0000281,0455-ENTCR,2021-11-15,2021-11-08,83.53,Pago em Dia
INV-0000282,0455-ENTCR,2021-10-15,2021-10-10,84.7,Pago em Dia
INV-0000283,0455-ENTCR,2021-09-15,2021-09-23,83.82,Pago com Atraso
INV-0000284,0455-ENTCR,2021-08-15,2021-08-11,86.52,Pago em Dia
INV-0000285,0455-ENTCR,2021-07-15,2021-07-11,86.78,Pago em Dia
INV-0000286,0455-ENTCR,2021-06-15,2021-06-11,86.16,Pago em Dia
INV-0000287,0455-ENTCR,2021-05-15,2021-05-28,85.43,Pago com Atraso
INV-0000288,0455-ENTCR,2021-04-15,2021-04-08,84.15,Pago em Dia
INV-0000289,0455-ENTCR,2021-03-15,2021-03-12,81.3,Pago em Dia
INV-0000290,0455-ENTCR,2021-02-15,2021-02-13,84.5,Pago em Dia
INV-0000291,0455-ENTCR,2021-01-15,2021-01-08,85.86,Pago em Dia
INV-0000292,0455-ENTCR,2020-12-15,2020-12-11,85.21,Pago em Dia
INV-0000293,0455-ENTCR,2020-11-15,2020-12-01,89.58,Pago com Atraso
INV-0000294,0455-ENTCR,2020-10-15,2020-11-03,85.83,Pago com Atraso
INV-0000295,0455-ENTCR,2020-09-15,2020-09-12,86.65,Pago em Dia
INV-0000296,0455-ENTCR,2020-08-15,2020-08-09,84.47,Pago em Dia
INV-0000297,0455-ENTCR,2020-07-15,2020-07-10,84.19,Pago em Dia
INV-0000298,0455-ENTCR,2020-06-15,2020-06-08,83.0,Pago em Dia
INV-0000299,2038-OEQZH,2025-11-15,2025-11-21,85.25,Pago com Atraso
INV-0000300,2038-OEQZH,2025-10-15,2025-10-09,84.14,Pago em Dia
INV-0000301,2038-OEQZH,2025-09-15,2025-09-08,88.21,Pago em Dia
INV-0000302,2038-OEQZH,2025-08-15,2025-08-14,84.85,Pago em Dia
INV-0000303,7993-PYKOF,2025-11-15,,75.57,Pendente
INV-0000304,7993-PYKOF,2025-10-15,2025-10-31,74.76,Pago com Atraso
INV-0000305,7993-PYKOF,2025-09-15,2025-09-12,75.5,Pago em Dia
INV-0000306,7993-PYKOF,2025-08-15,2025-08-09,76.59,Pago em Dia
INV-0000307,7993-PYKOF,2025-07-15,2025-07-13,74.36,Pago em Dia
INV-0000308,7993-PYKOF,2025-06-15,2025-06-10,74.69,Pago em Dia
INV-0000309,7993-PYKOF,2025-05-15,2025-05-08,75.37,Pago em Dia
INV-0000310,7993-PYKOF,2025-04-15,2025-04-13,70.96,Pago em Dia
INV-0000311,4361-FEBGN,2025-11-15,2025-11-08,19.83,Pago em Dia
INV-0000312,4361-FEBGN,2025-10-15,2025-10-09,19.56,Pago em Dia
INV-0000313,4361-FEBGN,2025-09-15,2025-09-14,20.24,Pago em Dia
INV-0000314,4361-FEBGN,2025-08-15,2025-08-13,20.48,Pago em Dia
INV-0000315,4361-FEBGN,2025-07-15,2025-07-10,20.74,Pago em Dia
INV-0000316,4361-FEBGN,2025-06-15,2025-06-08,20.24,Pago em Dia
INV-0000317,4361-FEBGN,2025-05-15,2025-05-13,21.2,Pago em Dia
INV-0000318,4361-FEBGN,2025-04-15,2025-04-12,19.94,Pago em Dia
INV-0000319,4361-FEBGN,2025-03-15,2025-03-08,19.78,Pago em Dia
INV-0000320,4361-FEBGN,2025-02-15,2025-02-12,19.93,Pago em Dia
INV-0000321,4361-FEBGN,2025-01-15,2025-01-11,20.03,Pago em Dia
INV-0000322,4361-FEBGN,2024-12-15,2024-12-14,21.06,Pago em Dia
INV-0000323,4361-FEBGN,2024-11-15,2024-11-14,20.43,Pago em Dia
INV-0000324,4361-FEBGN,2024-10-15,2024-10-13,20.31,Pago em Dia
INV-0000325,4361-FEBGN,2024-09-15,2024-09-09,20.6,Pago em Dia
INV-0000326,4361-FEBGN,2024-08-15,2024-08-11,20.49,Pago em Dia
INV-0000327,4361-FEBGN,2024-07-15,2024-07-12,19.75,Pago em Dia
INV-0000328,4361-FEBGN,2024-06-15,2024-06-10,19.83,Pago em Dia
INV-0000329,4361-FEBGN,2024-05-15,2024-05-13,19.76,Pago em Dia
INV-0000330,4361-FEBGN,2024-04-15,2024-04-14,19.97,Pago em Dia
INV-0000331,4361-FEBGN,2024-03-15,2024-03-09,20.08,Pago em Dia
