log_id,customerID,mes_referencia,gb_download
LOG-0000047,5151-HQRDG,2023-02-01,24.52
LOG-0000048,5151-HQRDG,2023-01-01,51.25
LOG-0000049,5151-HQRDG,2022-12-01,40.54
LOG-0000050,5151-HQRDG,2022-11-01,43.43
LOG-0000051,6624-JDRDS,2025-11-01,35.01
LOG-0000052,6624-JDRDS,2025-10-01,42.62
LOG-0000053,6624-JDRDS,2025-09-01,45.2
LOG-0000054,6624-JDRDS,2025-08-01,38.05
LOG-0000055,6624-JDRDS,2025-07-01,52.74
LOG-0000056,6624-JDRDS,2025-06-01,33.55
LOG-0000057,3082-VQXNH,2025-11-01,30.95
LOG-0000058,3082-VQXNH,2025-10-01,42.46
LOG-0000059,3082-VQXNH,2025-09-01,71.18
LOG-0000060,1309-XGFSN,2025-11-01,179.12
LOG-0000061,1309-XGFSN,2025-10-01,170.92
LOG-0000062,1309-XGFSN,2025-09-01,132.85
LOG-0000063,1309-XGFSN,2025-08-01,174.85
LOG-0000064,1309-XGFSN,2025-07-01,150.57
LOG-0000065,1309-XGFSN,2025-06-01,194.76
LOG-0000066,1309-XGFSN,2025-05-01,180.56
LOG-0000067,1309-XGFSN,2025-04-01,176.03
LOG-0000068,1309-XGFSN,2025-03-01,179.18
LOG-0000069,1309-XGFSN,2025-02-01,176.51
LOG-0000070,1309-XGFSN,2025-01-01,159.04
LOG-0000071,1309-XGFSN,2024-12-01,192.14
LOG-0000072,1309-XGFSN,2024-11-01,155.25
LOG-0000073,1309-XGFSN,2024-10-01,167.03
LOG-0000074,1309-XGFSN,2024-09-01,149.67
LOG-0000075,1309-XGFSN,2024-08-01,151.52
LOG-0000076,1309-XGFSN,2024-07-01,186.86
LOG-0000077,1309-XGFSN,2024-06-01,173.91
LOG-0000078,1309-XGFSN,2024-05-01,149.24
LOG-0000079,1309-XGFSN,2024-04-01,191.8
LOG-0000080,1309-XGFSN,2024-03-01,168.34
LOG-0000081,1309-XGFSN,2024-02-01,151.29
LOG-0000082,1309-XGFSN,2024-01-01,175.61
LOG-0000083,1309-XGFSN,2023-12-01,175.93
LOG-0000084,1309-XGFSN,2023-11-01,172.04
LOG-0000085,1309-XGFSN,2023-10-01,148.63
LOG-0000086,1309-XGFSN,2023-09-01,165.56
LOG-0000087,1309-XGFSN,2023-08-01,164.68
LOG-0000088,1309-XGFSN,2023-07-01,171.32
LOG-0000089,1309-XGFSN,2023-06-01,170.93
LOG-0000090,1309-XGFSN,2023-05-01,176.18
LOG-0000091,1309-XGFSN,2023-04-01,146.66
LOG-0000092,1309-XGFSN,2023-03-01,165.93
LOG-0000093,1309-XGFSN,2023-02-01,172.38
LOG-0000094,1309-XGFSN,2023-01-01,171.88
LOG-0000095,1309-XGFSN,2022-12-01,145.22
LOG-0000096,1309-XGFSN,2022-11-01,170.01
LOG-0000097,1309-XGFSN,2022-10-01,187.31
LOG-0000098,1309-XGFSN,2022-09-01,156.38
LOG-0000099,1309-XGFSN,2022-08-01,164.21
LOG-0000100,1309-XGFSN,2022-07-01,160.69
LOG-0000101,1309-XGFSN,2022-06-01,164.4
LOG-0000102,1309-XGFSN,2022-05-01,187.38
LOG-0000103,1309-XGFSN,2022-04-01,171.84
LOG-0000104,1309-XGFSN,2022-03-01,166.88
LOG-0000105,1309-XGFSN,2022-02-01,135.34
LOG-0000106,1309-XGFSN,2022-01-01,132.17
LOG-0000107,1309-XGFSN,2021-12-01,166.15
LOG-0000108,1309-XGFSN,2021-11-01,179.54
LOG-0000109,1309-XGFSN,2021-10-01,187.54
LOG-0000110,1309-XGFSN,2021-09-01,160.08
LOG-0000111,1309-XGFSN,2021-08-01,164.27
LOG-0000112,9402-ORRAH,2025-11-01,362.83
LOG-0000113,9402-ORRAH,2025-10-01,467.77
LOG-0000114,9402-ORRAH,2025-09-01,387.47
LOG-0000115,9402-ORRAH,2025-08-01,487.64
LOG-0000116,9402-ORRAH,2025-07-01,533.95
LOG-0000117,9402-ORRAH,2025-06-01,296.85
LOG-0000118,9402-ORRAH,2025-05-01,448.93
LOG-0000119,9402-ORRAH,2025-04-01,279.85
LOG-0000120,9402-ORRAH,2025-03-01,356.9
LOG-0000121,9402-ORRAH,2025-02-01,460.01
LOG-0000122,9402-ORRAH,2025-01-01,304.99
LOG-0000123,9402-ORRAH,2024-12-01,378.08
LOG-0000124,9402-ORRAH,2024-11-01,323.58
LOG-0000125,9402-ORRAH,2024-10-01,478.69
LOG-0000126,9402-ORRAH,2024-09-01,387.75
LOG-0000127,8663-UPDGF,2025-11-01,129.98
LOG-0000128,8663-UPDGF,2025-10-01,117.98
LOG-0000129,8663-UPDGF,2025-09-01,116.46
LOG-0000130,8663-UPDGF,2025-08-01,94.88
LOG-0000131,8663-UPDGF,2025-07-01,111.07
LOG-0000132,8663-UPDGF,2025-06-01,81.4
LOG-0000133,8663-UPDGF,2025-05-01,119.64
LOG-0000134,8663-UPDGF,2025-04-01,110.16
LOG-0000135,8663-UPDGF,2025-03-01,108.04
LOG-0000136,8663-UPDGF,2025-02-01,125.9
LOG-0000137,8663-UPDGF,2025-01-01,81.23
LOG-0000138,8663-UPDGF,2024-12-01,104.73
LOG-0000139,8663-UPDGF,2024-11-01,109.05
LOG-0000140,8663-UPDGF,2024-10-01,94.19
LOG-0000141,8663-UPDGF,2024-09-01,104.69
LOG-0000142,8663-UPDGF,2024-08-01,113.23
LOG-0000143,8663-UPDGF,2024-07-01,116.5
LOG-0000144,8663-UPDGF,2024-06-01,104.57
LOG-0000145,8663-UPDGF,2024-05-01,114.09
LOG-0000146,8663-UPDGF,2024-04-01,125.2
LOG-0000147,8663-UPDGF,2024-03-01,131.1
LOG-0000148,8663-UPDGF,2024-02-01,111.41
LOG-0000149,8663-UPDGF,2024-01-01,117.88
LOG-0000150,8663-UPDGF,2023-12-01,119.98
LOG-0000151,8663-UPDGF,2023-11-01,127.76
LOG-0000152,8663-UPDGF,2023-10-01,122.72
LOG-0000153,0455-ENTCR,2025-11-01,140.04
LOG-0000154,0455-ENTCR,2025-10-01,172.69
LOG-0000155,0455-ENTCR,2025-09-01,156.38
LOG-0000156,0455-ENTCR,2025-08-01,173.09
LOG-0000157,0455-ENTCR,2025-07-01,163.82
LOG-0000158,0455-ENTCR,2025-06-01,178.34
LOG-0000159,0455-ENTCR,2025-05-01,176.0
LOG-0000160,0455-ENTCR,2025-04-01,173.08
LOG-0000161,0455-ENTCR,2025-03-01,195.01
LOG-0000162,0455-ENTCR,2025-02-01,154.1
LOG-0000163,0455-ENTCR,2025-01-01,183.3
LOG-0000164,0455-ENTCR,2024-12-01,158.81
LOG-0000165,0455-ENTCR,2024-11-01,177.47
LOG-0000166,0455-ENTCR,2024-10-01,207.12
LOG-0000167,0455-ENTCR,2024-09-01,187.78
LOG-0000168,0455-ENTCR,2024-08-01,179.63
LOG-0000169,0455-ENTCR,2024-07-01,163.27
LOG-0000170,0455-ENTCR,2024-06-01,151.85
LOG-0000171,0455-ENTCR,2024-05-01,133.5
LOG-0000172,0455-ENTCR,2024-04-01,193.75
LOG-0000173,0455-ENTCR,2024-03-01,157.98
LOG-0000174,0455-ENTCR,2024-02-01,147.14
LOG-0000175,0455-ENTCR,2024-01-01,182.5
LOG-0000176,0455-ENTCR,2023-12-01,173.97
LOG-0000177,0455-ENTCR,2023-11-01,159.83
LOG-0000178,0455-ENTCR,2023-10-01,175.06
LOG-0000179,0455-ENTCR,2023-09-01,141.22
LOG-0000180,0455-ENTCR,2023-08-01,188.94
LOG-0000181,0455-ENTCR,2023-07-01,172.06
LOG-0000182,0455-ENTCR,2023-06-01,183.06
LOG-0000183,0455-ENTCR,2023-05-01,182.04
LOG-0000184,0455-ENTCR,2023-04-01,139.69
LOG-0000185,0455-ENTCR,2023-03-01,165.31
LOG-0000186,0455-ENTCR,2023-02-01,156.23
LOG-0000187,0455-ENTCR,2023-01-01,195.13
LOG-0000188,0455-ENTCR,2022-12-01,197.86
LOG-0000189,0455-ENTCR,2022-11-01,173.74
LOG-0000190,0455-ENTCR,2022-10-01,155.46
LOG-0000191,0455-ENTCR,2022-09-01,163.01
LOG-0000192,0455-ENTCR,2022-08-01,153.82
LOG-0000193,0455-ENTCR,2022-07-01,157.16
LOG-0000194,0455-ENTCR,2022-06-01,145.45
LOG-0000195,0455-ENTCR,2022-05-01,183.97
LOG-0000196,0455-ENTCR,2022-04-01,189.12
LOG-0000197,0455-ENTCR,2022-03-01,182.92
LOG-0000198,0455-ENTCR,2022-02-01,162.74
LOG-0000199,0455-ENTCR,2022-01-01,169.36
LOG-0000200,0455-ENTCR,2021-12-01,170.39
LOG-0000201,0455-ENTCR,2021-11-01,151.69
LOG-0000202,0455-ENTCR,2021-10-01,163.4
LOG-0000203,0455-ENTCR,2021-09-01,149.81
LOG-0000204,0455-ENTCR,2021-08-01,143.13
LOG-0000205,0455-ENTCR,2021-07-01,190.5
LOG-0000206,0455-ENTCR,2021-06-01,181.75
LOG-0000207,0455-ENTCR,2021-05-01,132.6
LOG-0000208,0455-ENTCR,2021-04-01,174.16
LOG-0000209,0455-ENTCR,2021-03-01,156.85
LOG-0000210,0455-ENTCR,2021-02-01,151.27
LOG-0000211,0455-ENTCR,2021-01-01,167.58
LOG-0000212,0455-ENTCR,2020-12-01,165.68
LOG-0000213,0455-ENTCR,2020-11-01,173.49
LOG-0000214,0455-ENTCR,2020-10-01,177.5
LOG-0000215,0455-ENTCR,2020-09-01,183.49
LOG-0000216,0455-ENTCR,2020-08-01,149.99
LOG-0000217,0455-ENTCR,2020-07-01,161.64
LOG-0000218,0455-ENTCR,2020-06-01,168.58
LOG-0000219,2038-OEQZH,2025-11-01,449.86
LOG-0000220,2038-OEQZH,2025-10-01,454.59
LOG-0000221,2038-OEQZH,2025-09-01,334.14
LOG-0000222,2038-OEQZH,2025-08-01,348.67
LOG-0000223,7993-PYKOF,2025-11-01,26.29
LOG-0000224,7993-PYKOF,2025-10-01,27.47
LOG-0000225,7993-PYKOF,2025-09-01,310.19
LOG-0000226,7993-PYKOF,2025-08-01,198.28
LOG-0000227,7993-PYKOF,2025-07-01,272.81
LOG-0000228,7993-PYKOF,2025-06-01,256.5
LOG-0000229,7993-PYKOF,2025-05-01,174.41
LOG-0000230,7993-PYKOF,2025-04-01,271.23
LOG-0000231,3898-BSJYF,2025-11-01,94.46
LOG-0000232,3898-BSJYF,2025-10-01,120.79
LOG-0000233,3898-BSJYF,2025-09-01,115.02
LOG-0000234,3898-BSJYF,2025-08-01,101.6
LOG-0000235,3898-BSJYF,2025-07-01,83.47
LOG-0000236,3898-BSJYF,2025-06-01,116.28
LOG-0000237,3898-BSJYF,2025-05-01,123.42
LOG-0000238,3898-BSJYF,2025-04-01,127.77
LOG-0000239,3898-BSJYF,2025-03-01,84.42
LOG-0000240,3898-BSJYF,2025-02-01,110.62
LOG-0000241,8869-LIHMK,2025-11-01,325.6
LOG-0000242,8869-LIHMK,2025-10-01,382.66
LOG-0000243,8869-LIHMK,2025-09-01,532.35
LOG-0000244,8869-LIHMK,2025-08-01,378.44
LOG-0000245,8869-LIHMK,2025-07-01,431.81
LOG-0000246,8869-LIHMK,2025-06-01,351.07
LOG-0000247,8869-LIHMK,2025-05-01,406.86
LOG-0000248,8869-LIHMK,2025-04-01,371.41
LOG-0000249,8869-LIHMK,2025-03-01,389.4
LOG-0000250,8869-LIHMK,2025-02-01,351.31
LOG-0000251,8869-LIHMK,2025-01-01,452.4
LOG-0000252,8869-LIHMK,2024-12-01,352.84
LOG-0000253,8869-LIHMK,2024-11-01,345.13
LOG-0000254,8869-LIHMK,2024-10-01,522.4
LOG-0000255,8869-LIHMK,2024-09-01,346.84
LOG-0000256,8869-LIHMK,2024-08-01,392.89
LOG-0000257,8869-LIHMK,2024-07-01,296.93
LOG-0000258,8869-LIHMK,2024-06-01,317.45
LOG-0000259,8869-LIHMK,2024-05-01,286.88
LOG-0000260,8869-LIHMK,2024-04-01,323.7
LOG-0000261,8869-LIHMK,2024-03-01,392.75
LOG-0000262,8869-LIHMK,2024-02-01,286.74
LOG-0000263,8869-LIHMK,2024-01-01,387.61
LOG-0000264,8869-LIHMK,2023-12-01,410.54
LOG-0000265,8869-LIHMK,2023-11-01,463.1
LOG-0000266,8869-LIHMK,2023-10-01,285.88
LOG-0000267,8869-LIHMK,2023-09-01,388.45
LOG-0000268,8869-LIHMK,2023-08-01,383.49
LOG-0000269,8869-LIHMK,2023-07-01,384.39
LOG-0000270,8869-LIHMK,2023-06-01,416.75
LOG-0000271,8869-LIHMK,2023-05-01,421.35
LOG-0000272,8869-LIHMK,2023-04-01,296.17
LOG-0000273,8869-LIHMK,2023-03-01,338.2
LOG-0000274,8869-LIHMK,2023-02-01,339.73
LOG-0000275,8869-LIHMK,2023-01-01,459.13
LOG-0000276,8869-LIHMK,2022-12-01,320.98
LOG-0000277,8869-LIHMK,2022-11-01,423.04
LOG-0000278,8869-LIHMK,2022-10-01,285.49
LOG-0000279,8869-LIHMK,2022-09-01,518.2
LOG-0000280,8869-LIHMK,2022-08-01,395.32
LOG-0000281,8869-LIHMK,2022-07-01,530.99
LOG-0000282,8869-LIHMK,2022-06-01,370.87
LOG-0000283,8869-LIHMK,2022-05-01,405.05
LOG-0000284,8869-LIHMK,2022-04-01,390.79
LOG-0000285,8869-LIHMK,2022-03-01,384.81
LOG-0000286,8869-LIHMK,2022-02-01,396.89
LOG-0000287,8869-LIHMK,2022-01-01,414.07
LOG-0000288,8869-LIHMK,2021-12-01,415.98
LOG-0000289,8869-LIHMK,2021-11-01,473.85
LOG-0000290,8869-LIHMK,2021-10-01,375.88
LOG-0000291,8869-LIHMK,2021-09-01,452.43
LOG-0000292,8869-LIHMK,2021-08-01,491.18
LOG-0000293,8869-LIHMK,2021-07-01,587.35
LOG-0000294,8869-LIHMK,2021-06-01,352.26
LOG-0000295,8869-LIHMK,2021-05-01,467.96
LOG-0000296,8869-LIHMK,2021-04-01,434.6
LOG-0000297,8869-LIHMK,2021-03-01,455.76
LOG-0000298,8869-LIHMK,2021-02-01,443.08
LOG-0000299,8869-LIHMK,2021-01-01,426.32
LOG-0000300,8869-LIHMK,2020-12-01,372.36
LOG-0000301,8869-LIHMK,2020-11-01,394.84
LOG-0000302,8869-LIHMK,2020-10-01,462.83
LOG-0000303,8869-LIHMK,2020-09-01,399.34
LOG-0000304,8869-LIHMK,2020-08-01,417.69
LOG-0000305,5482-VXSXJ,2025-11-01,415.4
LOG-0000306,5482-VXSXJ,2025-10-01,461.92
LOG-0000307,5482-VXSXJ,2025-09-01,470.64
LOG-0000308,5482-VXSXJ,2025-08-01,327.02
LOG-0000309,5482-VXSXJ,2025-07-01,425.79
LOG-0000310,5482-VXSXJ,2025-06-01,358.34
LOG-0000311,5482-VXSXJ,2025-05-01,318.49
LOG-0000312,5482-VXSXJ,2025-04-01,432.04
LOG-0000313,5482-VXSXJ,2025-03-01,415.6
LOG-0000314,5482-VXSXJ,2025-02-01,423.44
LOG-0000315,5482-VXSXJ,2025-01-01,449.5
LOG-0000316,5482-VXSXJ,2024-12-01,360.36
LOG-0000317,5482-VXSXJ,2024-11-01,432.89
LOG-0000318,5482-VXSXJ,2024-10-01,503.79
LOG-0000319,5482-VXSXJ,2024-09-01,326.33
LOG-0000320,5482-VXSXJ,2024-08-01,402.21
LOG-0000321,5482-VXSXJ,2024-07-01,466.74
LOG-0000322,5482-VXSXJ,2024-06-01,431.67
LOG-0000323,5482-VXSXJ,2024-05-01,394.08
LOG-0000324,5482-VXSXJ,2024-04-01,399.32
LOG-0000325,5482-VXSXJ,2024-03-01,445.82
LOG-0000326,5482-VXSXJ,2024-02-01,394.29
LOG-0000327,9497-QCMMS,2025-11-01,30.88
LOG-0000328,8587-XYZSF,2025-11-01,50.73
LOG-0000329,8587-XYZSF,2025-10-01,63.14
LOG-0000330,8587-XYZSF,2025-09-01,74.01
LOG-0000331,8587-XYZSF,2025-08-01,48.48
LOG-0000332,8587-XYZSF,2025-07-01,33.35
LOG-0000333,8587-XYZSF,2025-06-01,60.53
LOG-0000334,8587-XYZSF,2025-05-01,52.56
LOG-0000335,8587-XYZSF,2025-04-01,61.44
LOG-0000336,8587-XYZSF,2025-03-01,68.62
LOG-0000337,8587-XYZSF,2025-02-01,57.05
LOG-0000338,8587-XYZSF,2025-01-01,39.38
LOG-0000339,8587-XYZSF,2024-12-01,85.71
LOG-0000340,8587-XYZSF,2024-11-01,27.89
LOG-0000341,8587-XYZSF,2024-10-01,65.14
LOG-0000342,8587-XYZSF,2024-09-01,48.18
LOG-0000343,8587-XYZSF,2024-08-01,78.3
LOG-0000344,8587-XYZSF,2024-07-01,18.35
LOG-0000345,8587-XYZSF,2024-06-01,65.65
LOG-0000346,8587-XYZSF,2024-05-01,41.73
LOG-0000347,8587-XYZSF,2024-04-01,51.72
LOG-0000348,8587-XYZSF,2024-03-01,6.14
LOG-0000349,8587-XYZSF,2024-02-01,13.82
LOG-0000350,8587-XYZSF,2024-01-01,48.43
LOG-0000351,8587-XYZSF,2023-12-01,37.7
LOG-0000352,8587-XYZSF,2023-11-01,31.94
LOG-0000353,8587-XYZSF,2023-10-01,74.27
LOG-0000354,8587-XYZSF,2023-09-01,33.88
LOG-0000355,8587-XYZSF,2023-08-01,53.41
LOG-0000356,8587-XYZSF,2023-07-01,47.63
LOG-0000357,8587-XYZSF,2023-06-01,51.74
LOG-0000358,8587-XYZSF,2023-05-01,54.41
LOG-0000359,8587-XYZSF,2023-04-01,72.78
LOG-0000360,8587-XYZSF,2023-03-01,46.12
LOG-0000361,8587-XYZSF,2023-02-01,49.73
LOG-0000362,8587-XYZSF,2023-01-01,61.86
LOG-0000363,8587-XYZSF,2022-12-01,62.81
LOG-0000364,8587-XYZSF,2022-11-01,62.02
LOG-0000365,8587-XYZSF,2022-10-01,73.44
LOG-0000366,8587-XYZSF,2022-09-01,46.63
LOG-0000367,8587-XYZSF,2022-08-01,36.81
LOG-0000368,8587-XYZSF,2022-07-01,60.65
LOG-0000369,8587-XYZSF,2022-06-01,66.27
LOG-0000370,8587-XYZSF,2022-05-01,64.63
LOG-0000371,8587-XYZSF,2022-04-01,39.58
LOG-0000372,8587-XYZSF,2022-03-01,48.5
LOG-0000373,8587-XYZSF,2022-02-01,56.48
LOG-0000374,8587-XYZSF,2022-01-01,50.97
LOG-0000375,8587-XYZSF,2021-12-01,35.52
LOG-0000376,8587-XYZSF,2021-11-01,50.61
LOG-0000377,8587-XYZSF,2021-10-01,64.26
LOG-0000378,8587-XYZSF,2021-09-01,50.07
LOG-0000379,8587-XYZSF,2021-08-01,64.89
LOG-0000380,8587-XYZSF,2021-07-01,57.25
LOG-0000381,8587-XYZSF,2021-06-01,69.41
LOG-0000382,8587-XYZSF,2021-05-01,41.95
LOG-0000383,8587-XYZSF,2021-04-01,59.21
LOG-0000384,8587-XYZSF,2021-03-01,30.18
LOG-0000385,8587-XYZSF,2021-02-01,68.25
LOG-0000386,8587-XYZSF,2021-01-01,55.81
LOG-0000387,8587-XYZSF,2020-12-01,30.21
LOG-0000388,8587-XYZSF,2020-11-01,47.29
LOG-0000389,8587-XYZSF,2020-10-01,13.68
LOG-0000390,8587-XYZSF,2020-09-01,69.18
LOG-0000391,8587-XYZSF,2020-08-01,89.4
LOG-0000392,8587-XYZSF,2020-07-01,66.31
LOG-0000393,8587-XYZSF,2020-06-01,61.09
LOG-0000394,8587-XYZSF,2020-05-01,56.49
LOG-0000395,1902-XBTFB,2025-11-01,27.97
LOG-0000396,1902-XBTFB,2025-10-01,28.14
LOG-0000397,1902-XBTFB,2025-09-01,267.34
LOG-0000398,1902-XBTFB,2025-08-01,255.32
LOG-0000399,1902-XBTFB,2025-07-01,390.68
LOG-0000400,1902-XBTFB,2025-06-01,316.11
LOG-0000401,1902-XBTFB,2025-05-01,429.16
LOG-0000402,1902-XBTFB,2025-04-01,314.43
LOG-0000403,1902-XBTFB,2025-03-01,336.51
LOG-0000404,1902-XBTFB,2025-02-01,212.25
LOG-0000405,1902-XBTFB,2025-01-01,343.37
LOG-0000406,1902-XBTFB,2024-12-01,296.08
LOG-0000407,1902-XBTFB,2024-11-01,251.85
LOG-0000408,1902-XBTFB,2024-10-01,282.52
LOG-0000409,1902-XBTFB,2024-09-01,280.21
LOG-0000410,1902-XBTFB,2024-08-01,292.83
LOG-0000411,1902-XBTFB,2024-07-01,394.0
LOG-0000412,1902-XBTFB,2024-06-01,335.1
LOG-0000413,1902-XBTFB,2024-05-01,320.91
LOG-0000414,1902-XBTFB,2024-04-01,317.71
LOG-0000415,1902-XBTFB,2024-03-01,339.7
LOG-0000416,1902-XBTFB,2024-02-01,371.62
LOG-0000417,9614-RMGHA,2025-11-01,50.4
LOG-0000418,9614-RMGHA,2025-10-01,36.6
LOG-0000419,9614-RMGHA,2025-09-01,275.06
LOG-0000420,9614-RMGHA,2025-08-01,235.91
LOG-0000421,9614-RMGHA,2025-07-01,282.46
LOG-0000422,9614-RMGHA,2025-06-01,414.13
LOG-0000423,9614-RMGHA,2025-05-01,328.17
LOG-0000424,9614-RMGHA,2025-04-01,389.87
LOG-0000425,9614-RMGHA,2025-03-01,226.25
LOG-0000426,9614-RMGHA,2025-02-01,209.04
LOG-0000427,9614-RMGHA,2025-01-01,400.43
LOG-0000428,9614-RMGHA,2024-12-01,176.31
LOG-0000429,9614-RMGHA,2024-11-01,416.66
LOG-0000430,9614-RMGHA,2024-10-01,412.99
LOG-0000431,9614-RMGHA,2024-09-01,401.79
LOG-0000432,9614-RMGHA,2024-08-01,361.76
LOG-0000433,9614-RMGHA,2024-07-01,332.28
LOG-0000434,9614-RMGHA,2024-06-01,302.56
LOG-0000435,9614-RMGHA,2024-05-01,322.66
LOG-0000436,9614-RMGHA,2024-04-01,329.5
LOG-0000437,9614-RMGHA,2024-03-01,407.21
LOG-0000438,9614-RMGHA,2024-02-01,466.57
LOG-0000439,9614-RMGHA,2024-01-01,326.32
LOG-0000440,9614-RMGHA,2023-12-01,485.01
LOG-0000441,9614-RMGHA,2023-11-01,468.12
LOG-0000442,9614-RMGHA,2023-10-01,282.74
LOG-0000443,9614-RMGHA,2023-09-01,292.83
LOG-0000444,9614-RMGHA,2023-08-01,369.22
LOG-0000445,9614-RMGHA,2023-07-01,396.84
LOG-0000446,9614-RMGHA,2023-06-01,485.95
LOG-0000447,9614-RMGHA,2023-05-01,409.67
LOG-0000448,9614-RMGHA,2023-04-01,436.69
LOG-0000449,9614-RMGHA,2023-03-01,284.37
LOG-0000450,9614-RMGHA,2023-02-01,311.34
LOG-0000451,9614-RMGHA,2023-01-01,354.4
LOG-0000452,9614-RMGHA,2022-12-01,359.06
LOG-0000453,9614-RMGHA,2022-11-01,256.24
LOG-0000454,9614-RMGHA,2022-10-01,412.11
LOG-0000455,9614-RMGHA,2022-09-01,352.57
LOG-0000456,9614-RMGHA,2022-08-01,427.59
LOG-0000457,9614-RMGHA,2022-07-01,379.15
LOG-0000458,9614-RMGHA,2022-06-01,241.66
LOG-0000459,9614-RMGHA,2022-05-01,232.86
LOG-0000460,9614-RMGHA,2022-04-01,416.66
LOG-0000461,9614-RMGHA,2022-03-01,413.75
LOG-0000462,9614-RMGHA,2022-02-01,304.31
LOG-0000463,9614-RMGHA,2022-01-01,373.03
LOG-0000464,9614-RMGHA,2021-12-01,266.9
LOG-0000465,9614-RMGHA,2021-11-01,461.93
LOG-0000466,9614-RMGHA,2021-10-01,365.96
LOG-0000467,9614-RMGHA,2021-09-01,388.72
LOG-0000468,9614-RMGHA,2021-08-01,293.46
LOG-0000469,9614-RMGHA,2021-07-01,301.6
LOG-0000470,9614-RMGHA,2021-06-01,314.45
LOG-0000471,9614-RMGHA,2021-05-01,291.73
LOG-0000472,9614-RMGHA,2021-04-01,342.62
LOG-0000473,9614-RMGHA,2021-03-01,520.35
LOG-0000474,9614-RMGHA,2021-02-01,378.74
LOG-0000475,9614-RMGHA,2021-01-01,325.58
LOG-0000476,9614-RMGHA,2020-12-01,338.64
LOG-0000477,9614-RMGHA,2020-11-01,412.5
LOG-0000478,9614-RMGHA,2020-10-01,323.73
LOG-0000479,9614-RMGHA,2020-09-01,455.7
LOG-0000480,9614-RMGHA,2020-08-01,366.57
LOG-0000481,9614-RMGHA,2020-07-01,303.35
LOG-0000482,3551-GAEGL,2025-11-01,31.88
LOG-0000483,3551-GAEGL,2025-10-01,37.68
LOG-0000484,3551-GAEGL,2025-09-01,50.79
LOG-0000485,3551-GAEGL,2025-08-01,40.66
LOG-0000486,3551-GAEGL,2025-07-01,42.68
LOG-0000487,3551-GAEGL,2025-06-01,42.16
LOG-0000488,3551-GAEGL,2025-05-01,55.07
LOG-0000489,3551-GAEGL,2025-04-01,60.76
LOG-0000490,3551-GAEGL,2025-03-01,56.83
LOG-0000491,3551-GAEGL,2025-02-01,78.61
LOG-0000492,3551-GAEGL,2025-01-01,49.83
LOG-0000493,3551-GAEGL,2024-12-01,56.31
LOG-0000494,3551-GAEGL,2024-11-01,58.36
LOG-0000495,3551-GAEGL,2024-10-01,31.88
LOG-0000496,3551-GAEGL,2024-09-01,56.42
LOG-0000497,3551-GAEGL,2024-08-01,28.56
LOG-0000498,3551-GAEGL,2024-07-01,44.32
