change_id,customerID,data_evento,tipo_alteracao,servico
CHG-000038,0280-XJGEX,2021-10-23,ADD,Fiber optic
CHG-000039,0280-XJGEX,2024-02-08,ADD,OnlineBackup
CHG-000040,0280-XJGEX,2024-01-30,ADD,DeviceProtection
CHG-000041,0280-XJGEX,2023-07-03,ADD,StreamingTV
CHG-000042,0280-XJGEX,2024-07-06,ADD,StreamingMovies
CHG-000043,5129-JLPIS,2023-10-13,ADD,Fiber optic
CHG-000044,5129-JLPIS,2025-03-24,ADD,OnlineSecurity
CHG-000045,5129-JLPIS,2025-10-22,ADD,DeviceProtection
CHG-000046,5129-JLPIS,2023-10-20,ADD,TechSupport
CHG-000047,5129-JLPIS,2025-01-20,ADD,StreamingTV
CHG-000048,5129-JLPIS,2025-06-28,ADD,StreamingMovies
CHG-000049,3655-SNQYZ,2020-03-02,ADD,Fiber optic
CHG-000050,3655-SNQYZ,2021-07-11,ADD,OnlineSecurity
CHG-000051,3655-SNQYZ,2025-05-17,ADD,OnlineBackup
CHG-000052,3655-SNQYZ,2025-09-02,ADD,DeviceProtection
CHG-000053,3655-SNQYZ,2020-09-24,ADD,TechSupport
CHG-000054,3655-SNQYZ,2020-11-08,ADD,StreamingTV
CHG-000055,3655-SNQYZ,2021-11-02,ADD,StreamingMovies
CHG-000056,9959-WOFKT,2020-01-02,ADD,Fiber optic
CHG-000057,9959-WOFKT,2022-10-24,ADD,OnlineSecurity
CHG-000058,9959-WOFKT,2021-02-27,ADD,DeviceProtection
CHG-000059,9959-WOFKT,2020-05-06,ADD,StreamingTV
CHG-000060,9959-WOFKT,2020-11-11,ADD,StreamingMovies
CHG-000061,4190-MFLUW,2025-01-05,ADD,DSL
CHG-000062,4190-MFLUW,2025-05-17,ADD,DeviceProtection
CHG-000063,4190-MFLUW,2025-10-25,ADD,TechSupport
CHG-000064,4183-MYFRB,2024-02-10,ADD,Fiber optic
CHG-000065,4183-MYFRB,2025-05-13,ADD,OnlineBackup
CHG-000066,4183-MYFRB,2025-06-07,ADD,DeviceProtection
CHG-000067,4183-MYFRB,2025-09-19,ADD,StreamingMovies
CHG-000068,8779-QRDMV,2025-10-02,ADD,DSL
CHG-000069,8779-QRDMV,2025-10-12,ADD,DeviceProtection
CHG-000070,8779-QRDMV,2025-10-20,ADD,StreamingMovies
CHG-000071,3638-WEABW,2021-01-26,ADD,DSL
CHG-000072,3638-WEABW,2021-06-24,ADD,OnlineBackup
CHG-000073,3638-WEABW,2023-12-01,ADD,TechSupport
CHG-000074,6322-HRPFA,2021-10-23,ADD,DSL
CHG-000075,6322-HRPFA,2022-05-13,ADD,OnlineSecurity
CHG-000076,6322-HRPFA,2024-01-25,ADD,OnlineBackup
CHG-000077,6322-HRPFA,2025-03-05,ADD,TechSupport
CHG-000078,6865-JZNKO,2023-05-16,ADD,DSL
CHG-000079,6865-JZNKO,2024-12-23,ADD,OnlineSecurity
CHG-000080,6865-JZNKO,2025-02-13,ADD,OnlineBackup
CHG-000081,6467-CHFZW,2021-12-22,ADD,Fiber optic
CHG-000082,6467-CHFZW,2025-09-29,ADD,OnlineBackup
CHG-000083,6467-CHFZW,2023-11-02,ADD,StreamingTV
CHG-000084,6467-CHFZW,2022-10-09,ADD,StreamingMovies
CHG-000085,8665-UTDHZ,2025-10-02,ADD,DSL
CHG-000086,8665-UTDHZ,2025-10-24,ADD,OnlineBackup
CHG-000087,5248-YGIJN,2019-12-03,ADD,DSL
CHG-000088,5248-YGIJN,2024-07-11,ADD,OnlineSecurity
CHG-000089,5248-YGIJN,2022-11-10,ADD,OnlineBackup
CHG-000090,5248-YGIJN,2020-01-15,ADD,DeviceProtection
CHG-000091,5248-YGIJN,2021-05-09,ADD,TechSupport
CHG-000092,5248-YGIJN,2023-05-10,ADD,StreamingTV
CHG-000093,5248-YGIJN,2024-11-18,ADD,StreamingMovies
CHG-000094,8773-HHUOZ,2024-06-09,ADD,DSL
CHG-000095,8773-HHUOZ,2025-09-18,ADD,StreamingTV
CHG-000096,8773-HHUOZ,2025-06-21,ADD,StreamingMovies
CHG-000097,3841-NFECX,2020-01-02,ADD,Fiber optic
CHG-000098,3841-NFECX,2024-08-30,ADD,OnlineSecurity
CHG-000099,3841-NFECX,2020-04-28,ADD,OnlineBackup
CHG-000100,3841-NFECX,2023-12-27,ADD,DeviceProtection
CHG-000101,3841-NFECX,2025-10-23,ADD,TechSupport
CHG-000102,4929-XIHVW,2025-09-02,ADD,Fiber optic
CHG-000103,4929-XIHVW,2025-09-06,ADD,DeviceProtection
CHG-000104,4929-XIHVW,2025-10-26,ADD,StreamingTV
CHG-000105,4929-XIHVW,2025-09-13,ADD,StreamingMovies
CHG-000106,6827-IEAUQ,2023-08-14,ADD,DSL
CHG-000107,6827-IEAUQ,2024-06-26,ADD,OnlineSecurity
CHG-000108,6827-IEAUQ,2023-11-27,ADD,OnlineBackup
CHG-000109,6827-IEAUQ,2024-04-28,ADD,DeviceProtection
CHG-000110,6827-IEAUQ,2023-12-01,ADD,TechSupport
CHG-000111,3413-BMNZE,2025-10-02,ADD,DSL
CHG-000112,6234-RAAPL,2019-12-03,ADD,Fiber optic
CHG-000113,6234-RAAPL,2022-04-06,ADD,OnlineSecurity
CHG-000114,6234-RAAPL,2021-09-12,ADD,OnlineBackup
CHG-000115,6234-RAAPL,2020-06-16,ADD,TechSupport
CHG-000116,6234-RAAPL,2020-09-27,ADD,StreamingTV
CHG-000117,6047-YHPVI,2025-06-04,ADD,Fiber optic
CHG-000118,6572-ADKRS,2022-01-21,ADD,Fiber optic
CHG-000119,6572-ADKRS,2023-03-10,ADD,DeviceProtection
CHG-000120,5380-WJKOV,2023-01-16,ADD,Fiber optic
CHG-000121,5380-WJKOV,2023-10-24,ADD,OnlineBackup
CHG-000122,5380-WJKOV,2023-02-23,ADD,DeviceProtection
CHG-000123,5380-WJKOV,2025-06-14,ADD,StreamingTV
CHG-000124,5380-WJKOV,2023-03-18,ADD,StreamingMovies
CHG-000125,5380-WJKOV,2025-09-30,REMOVE,StreamingTV
CHG-000126,8168-UQWWF,2024-12-06,ADD,Fiber optic
CHG-000127,8168-UQWWF,2024-12-17,ADD,DeviceProtection
CHG-000128,8168-UQWWF,2024-12-27,ADD,StreamingTV
CHG-000129,8168-UQWWF,2025-04-29,ADD,StreamingMovies
CHG-000130,8865-TNMNX,2025-01-05,ADD,DSL
CHG-000131,8865-TNMNX,2025-10-10,ADD,OnlineBackup
CHG-000132,9489-DEDVP,2020-02-01,ADD,DSL
CHG-000133,9489-DEDVP,2024-03-02,ADD,OnlineSecurity
CHG-000134,9489-DEDVP,2020-03-05,ADD,OnlineBackup
CHG-000135,9489-DEDVP,2023-11-09,ADD,StreamingTV
CHG-000136,4671-VJLCL,2020-08-29,ADD,DSL
CHG-000137,4671-VJLCL,2022-09-01,ADD,OnlineSecurity
CHG-000138,4671-VJLCL,2020-09-26,ADD,OnlineBackup
CHG-000139,4671-VJLCL,2022-04-08,ADD,DeviceProtection
CHG-000140,4671-VJLCL,2023-07-16,ADD,TechSupport
CHG-000141,4671-VJLCL,2021-09-11,ADD,StreamingTV
CHG-000142,4080-IIARD,2024-10-07,ADD,DSL
CHG-000143,4080-IIARD,2025-07-23,ADD,OnlineSecurity
CHG-000144,4080-IIARD,2025-08-04,ADD,OnlineBackup
CHG-000145,4080-IIARD,2025-02-07,ADD,TechSupport
CHG-000146,4080-IIARD,2025-03-02,ADD,StreamingTV
CHG-000147,3714-NTNFO,2021-10-23,ADD,Fiber optic
CHG-000148,3714-NTNFO,2022-05-02,ADD,StreamingMovies
CHG-000149,5948-UJZLF,2025-09-02,ADD,DSL
CHG-000150,5948-UJZLF,2025-09-15,ADD,OnlineBackup
CHG-000151,7760-OYPDY,2025-09-02,ADD,Fiber optic
CHG-000152,7760-OYPDY,2025-10-01,ADD,StreamingTV
CHG-000153,7760-OYPDY,2025-09-08,REMOVE,StreamingTV
CHG-000154,7639-LIAYI,2021-07-25,ADD,DSL
CHG-000155,7639-LIAYI,2023-06-16,ADD,OnlineSecurity
CHG-000156,7639-LIAYI,2023-12-09,ADD,TechSupport
CHG-000157,7639-LIAYI,2025-09-27,ADD,StreamingTV
CHG-000158,7639-LIAYI,2023-12-13,ADD,StreamingMovies
CHG-000159,2954-PIBKO,2020-03-02,ADD,DSL
CHG-000160,2954-PIBKO,2021-12-06,ADD,OnlineSecurity
CHG-000161,2954-PIBKO,2021-01-16,ADD,DeviceProtection
CHG-000162,2954-PIBKO,2025-06-02,ADD,TechSupport
CHG-000163,8012-SOUDQ,2022-04-21,ADD,Fiber optic
CHG-000164,8012-SOUDQ,2024-02-19,ADD,OnlineBackup
CHG-000165,8012-SOUDQ,2024-07-31,ADD,StreamingTV
CHG-000166,9420-LOJKX,2024-08-08,ADD,Fiber optic
CHG-000167,9420-LOJKX,2024-10-06,ADD,OnlineSecurity
CHG-000168,9420-LOJKX,2025-03-02,ADD,OnlineBackup
CHG-000169,9420-LOJKX,2024-08-12,ADD,StreamingTV
CHG-000170,9420-LOJKX,2025-05-20,ADD,StreamingMovies
CHG-000171,9420-LOJKX,2025-09-19,REMOVE,OnlineSecurity
CHG-000172,6575-SUVOI,2023-10-13,ADD,DSL
CHG-000173,6575-SUVOI,2025-09-18,ADD,OnlineSecurity
CHG-000174,6575-SUVOI,2024-05-07,ADD,TechSupport
CHG-000175,6575-SUVOI,2025-04-16,ADD,StreamingTV
CHG-000176,7495-OOKFY,2025-03-06,ADD,Fiber optic
CHG-000177,7495-OOKFY,2025-09-25,ADD,OnlineBackup
CHG-000178,4667-QONEA,2020-11-27,ADD,DSL
CHG-000179,4667-QONEA,2021-07-20,ADD,OnlineSecurity
CHG-000180,4667-QONEA,2021-02-08,ADD,OnlineBackup
CHG-000181,4667-QONEA,2021-07-04,ADD,DeviceProtection
CHG-000182,4667-QONEA,2024-07-23,ADD,TechSupport
CHG-000183,4667-QONEA,2021-10-03,ADD,StreamingMovies
CHG-000184,1658-BYGOY,2024-05-10,ADD,Fiber optic
CHG-000185,1658-BYGOY,2025-07-07,ADD,StreamingTV
CHG-000186,1658-BYGOY,2024-10-08,ADD,StreamingMovies
CHG-000187,8769-KKTPH,2020-08-29,ADD,Fiber optic
CHG-000188,8769-KKTPH,2023-04-13,ADD,OnlineSecurity
CHG-000189,8769-KKTPH,2024-01-20,ADD,StreamingTV
CHG-000190,8769-KKTPH,2023-04-17,ADD,StreamingMovies
CHG-000191,5067-XJQFU,2020-05-31,ADD,Fiber optic
CHG-000192,5067-XJQFU,2025-08-01,ADD,OnlineBackup
CHG-000193,5067-XJQFU,2020-11-12,ADD,DeviceProtection
CHG-000194,5067-XJQFU,2024-01-08,ADD,TechSupport
CHG-000195,5067-XJQFU,2022-07-02,ADD,StreamingTV
CHG-000196,5067-XJQFU,2023-08-17,ADD,StreamingMovies
CHG-000197,5954-BDFSG,2019-12-03,ADD,Fiber optic
CHG-000198,5954-BDFSG,2022-10-08,ADD,DeviceProtection
CHG-000199,5954-BDFSG,2024-06-04,ADD,TechSupport
CHG-000200,5954-BDFSG,2023-09-22,ADD,StreamingTV
CHG-000201,5954-BDFSG,2024-04-19,ADD,StreamingMovies
CHG-000202,0434-CSFON,2021-12-22,ADD,Fiber optic
CHG-000203,0434-CSFON,2023-09-16,ADD,DeviceProtection
CHG-000204,0434-CSFON,2022-07-11,ADD,StreamingTV
CHG-000205,0434-CSFON,2025-01-26,ADD,StreamingMovies
CHG-000206,1215-FIGMP,2020-11-27,ADD,Fiber optic
CHG-000207,1215-FIGMP,2025-09-11,ADD,OnlineBackup
CHG-000208,1215-FIGMP,2025-09-28,ADD,StreamingTV
CHG-000209,0526-SXDJP,2019-12-03,ADD,DSL
CHG-000210,0526-SXDJP,2020-02-06,ADD,OnlineSecurity
CHG-000211,0526-SXDJP,2024-11-13,ADD,OnlineBackup
CHG-000212,0526-SXDJP,2024-08-22,ADD,DeviceProtection
CHG-000213,0557-ASKVU,2024-05-10,ADD,DSL
CHG-000214,0557-ASKVU,2024-07-07,ADD,DeviceProtection
CHG-000215,0557-ASKVU,2025-09-08,ADD,TechSupport
CHG-000216,5698-BQJOH,2025-02-04,ADD,Fiber optic
CHG-000217,5698-BQJOH,2025-04-21,ADD,StreamingTV
CHG-000218,5698-BQJOH,2025-08-14,ADD,StreamingMovies
CHG-000219,5698-BQJOH,2025-08-05,REMOVE,StreamingTV
CHG-000220,5122-CYFXA,2025-08-03,ADD,DSL
CHG-000221,5122-CYFXA,2025-08-24,ADD,OnlineBackup
CHG-000222,5122-CYFXA,2025-08-22,ADD,TechSupport
CHG-000223,5122-CYFXA,2025-09-18,ADD,StreamingTV
CHG-000224,5122-CYFXA,2025-09-23,ADD,StreamingMovies
CHG-000225,8627-ZYGSZ,2021-12-22,ADD,Fiber optic
CHG-000226,8627-ZYGSZ,2025-07-01,ADD,OnlineBackup
CHG-000227,3410-YOQBQ,2023-04-16,ADD,DSL
CHG-000228,3410-YOQBQ,2025-06-20,ADD,OnlineBackup
CHG-000229,3410-YOQBQ,2025-01-26,ADD,DeviceProtection
CHG-000230,3410-YOQBQ,2025-05-06,ADD,TechSupport
CHG-000231,3410-YOQBQ,2024-02-21,ADD,StreamingTV
CHG-000232,3410-YOQBQ,2024-10-30,ADD,StreamingMovies
CHG-000233,7410-OIEDU,2025-01-05,ADD,Fiber optic
CHG-000234,7410-OIEDU,2025-09-30,ADD,OnlineSecurity
CHG-000235,7410-OIEDU,2025-08-20,ADD,DeviceProtection
CHG-000236,2273-QCKXA,2025-10-02,ADD,DSL
CHG-000237,2273-QCKXA,2025-10-19,ADD,TechSupport
CHG-000238,1891-QRQSA,2020-07-30,ADD,Fiber optic
CHG-000239,1891-QRQSA,2025-09-07,ADD,OnlineSecurity
CHG-000240,1891-QRQSA,2024-02-12,ADD,DeviceProtection
CHG-000241,1891-QRQSA,2025-02-17,ADD,TechSupport
CHG-000242,1891-QRQSA,2024-02-04,ADD,StreamingTV
CHG-000243,1891-QRQSA,2024-07-24,ADD,StreamingMovies
CHG-000244,5630-AHZIL,2025-08-03,ADD,DSL
CHG-000245,5630-AHZIL,2025-08-24,ADD,OnlineSecurity
CHG-000246,5630-AHZIL,2025-08-29,ADD,TechSupport
CHG-000247,5630-AHZIL,2025-10-07,ADD,StreamingMovies
CHG-000248,2673-CXQEU,2021-03-27,ADD,Fiber optic
CHG-000249,2673-CXQEU,2021-09-08,ADD,OnlineSecurity
CHG-000250,2673-CXQEU,2024-03-29,ADD,OnlineBackup
CHG-000251,2673-CXQEU,2023-12-10,ADD,DeviceProtection
CHG-000252,2673-CXQEU,2021-04-09,ADD,StreamingTV
CHG-000253,2673-CXQEU,2024-08-12,ADD,StreamingMovies
CHG-000254,6416-JNVRK,2022-01-21,ADD,DSL
CHG-000255,6416-JNVRK,2023-10-01,ADD,StreamingMovies
CHG-000256,5590-ZSKRV,2025-03-06,ADD,DSL
CHG-000257,5590-ZSKRV,2025-06-01,ADD,OnlineSecurity
CHG-000258,5590-ZSKRV,2025-09-28,ADD,OnlineBackup
CHG-000259,0191-ZHSKZ,2023-05-16,ADD,DSL
CHG-000260,0191-ZHSKZ,2025-08-12,ADD,OnlineSecurity
CHG-000261,0191-ZHSKZ,2025-01-13,ADD,OnlineBackup
CHG-000262,0191-ZHSKZ,2025-03-28,ADD,StreamingTV
CHG-000263,0191-ZHSKZ,2024-07-13,ADD,StreamingMovies
CHG-000264,5919-TMRGD,2025-10-02,ADD,Fiber optic
CHG-000265,5919-TMRGD,2025-10-20,ADD,StreamingTV
CHG-000266,8108-UXRQN,2024-12-06,ADD,DSL
CHG-000267,8108-UXRQN,2025-08-26,ADD,OnlineSecurity
CHG-000268,8108-UXRQN,2025-03-28,ADD,StreamingTV
CHG-000269,8108-UXRQN,2025-08-03,ADD,StreamingMovies
CHG-000270,9191-MYQKX,2025-04-05,ADD,Fiber optic
CHG-000271,9191-MYQKX,2025-10-18,ADD,DeviceProtection
CHG-000272,9919-YLNNG,2022-05-21,ADD,Fiber optic
CHG-000273,9919-YLNNG,2023-04-04,ADD,OnlineBackup
CHG-000274,9919-YLNNG,2024-08-17,ADD,DeviceProtection
CHG-000275,9919-YLNNG,2024-06-09,ADD,TechSupport
CHG-000276,9919-YLNNG,2024-07-26,ADD,StreamingTV
CHG-000277,9919-YLNNG,2024-03-13,ADD,StreamingMovies
CHG-000278,4445-ZJNMU,2025-02-04,ADD,Fiber optic
CHG-000279,4445-ZJNMU,2025-05-16,ADD,OnlineBackup
CHG-000280,4445-ZJNMU,2025-05-19,ADD,StreamingTV
CHG-000281,4445-ZJNMU,2025-05-16,ADD,StreamingMovies
CHG-000282,4808-YNLEU,2022-12-17,ADD,DSL
CHG-000283,4808-YNLEU,2023-12-14,ADD,OnlineSecurity
CHG-000284,4808-YNLEU,2024-07-19,ADD,StreamingTV
CHG-000285,3016-KSVCP,2023-06-15,ADD,DSL
CHG-000286,3016-KSVCP,2024-07-15,ADD,StreamingTV
CHG-000287,4767-HZZHQ,2023-05-16,ADD,Fiber optic
CHG-000288,4767-HZZHQ,2023-09-17,ADD,OnlineBackup
CHG-000289,4767-HZZHQ,2023-10-19,ADD,DeviceProtection
CHG-000290,2424-WVHPL,2025-10-02,ADD,Fiber optic
CHG-000291,2424-WVHPL,2025-10-04,ADD,TechSupport
CHG-000292,7233-PAHHL,2020-05-31,ADD,DSL
CHG-000293,7233-PAHHL,2022-01-12,ADD,OnlineSecurity
CHG-000294,7233-PAHHL,2020-06-10,ADD,DeviceProtection
CHG-000295,7233-PAHHL,2024-01-25,ADD,TechSupport
CHG-000296,7233-PAHHL,2022-10-11,ADD,StreamingTV
CHG-000297,7233-PAHHL,2023-09-21,ADD,StreamingMovies
CHG-000298,6067-NGCEU,2020-06-30,ADD,Fiber optic
CHG-000299,6067-NGCEU,2024-06-28,ADD,OnlineSecurity
CHG-000300,6067-NGCEU,2020-08-31,ADD,OnlineBackup
CHG-000301,6067-NGCEU,2024-02-12,ADD,DeviceProtection
CHG-000302,6067-NGCEU,2025-06-12,ADD,StreamingTV
CHG-000303,6067-NGCEU,2021-06-10,ADD,StreamingMovies
CHG-000304,9848-JQJTX,2019-12-03,ADD,Fiber optic
CHG-000305,9848-JQJTX,2024-02-24,ADD,OnlineBackup
CHG-000306,9848-JQJTX,2020-03-27,ADD,DeviceProtection
CHG-000307,9848-JQJTX,2021-02-05,ADD,StreamingTV
CHG-000308,9848-JQJTX,2023-03-11,ADD,StreamingMovies
CHG-000309,8637-XJIVR,2024-11-06,ADD,Fiber optic
CHG-000310,8637-XJIVR,2025-02-13,ADD,OnlineSecurity
CHG-000311,8637-XJIVR,2025-09-10,REMOVE,OnlineSecurity
CHG-000312,9803-FTJCG,2020-01-02,ADD,DSL
CHG-000313,9803-FTJCG,2022-11-10,ADD,OnlineSecurity
CHG-000314,9803-FTJCG,2020-07-22,ADD,OnlineBackup
CHG-000315,9803-FTJCG,2022-09-07,ADD,TechSupport
CHG-000316,4598-XLKNJ,2023-10-13,ADD,Fiber optic
CHG-000317,4598-XLKNJ,2024-01-09,ADD,OnlineBackup
CHG-000318,4598-XLKNJ,2024-03-09,ADD,DeviceProtection
CHG-000319,4598-XLKNJ,2024-03-29,ADD,StreamingTV
CHG-000320,4598-XLKNJ,2024-05-02,ADD,StreamingMovies
CHG-000321,4598-XLKNJ,2025-09-13,REMOVE,StreamingTV
CHG-000322,7123-WQUHX,2022-09-18,ADD,Fiber optic
CHG-000323,7123-WQUHX,2023-06-09,ADD,DeviceProtection
CHG-000324,7123-WQUHX,2025-03-21,ADD,TechSupport
CHG-000325,7123-WQUHX,2023-12-16,ADD,StreamingTV
CHG-000326,5386-THSLQ,2020-05-31,ADD,DSL
CHG-000327,5386-THSLQ,2020-11-15,ADD,OnlineBackup
CHG-000328,5386-THSLQ,2024-06-11,ADD,DeviceProtection
CHG-000329,5386-THSLQ,2021-01-20,ADD,StreamingTV
CHG-000330,3192-NQECA,2020-04-01,ADD,Fiber optic
CHG-000331,3192-NQECA,2021-04-29,ADD,OnlineBackup
CHG-000332,3192-NQECA,2021-07-29,ADD,DeviceProtection
CHG-000333,3192-NQECA,2024-05-29,ADD,TechSupport
CHG-000334,3192-NQECA,2025-09-18,ADD,StreamingTV
CHG-000335,3192-NQECA,2025-06-06,ADD,StreamingMovies
CHG-000336,3192-NQECA,2025-09-17,REMOVE,StreamingTV
CHG-000337,6180-YBIQI,2025-06-04,ADD,DSL
CHG-000338,6728-DKUCO,2019-12-03,ADD,Fiber optic
CHG-000339,6728-DKUCO,2021-01-27,ADD,OnlineSecurity
CHG-000340,6728-DKUCO,2024-01-28,ADD,OnlineBackup
CHG-000341,6728-DKUCO,2021-01-31,ADD,StreamingTV
CHG-000342,6728-DKUCO,2025-06-03,ADD,StreamingMovies
CHG-000343,9750-BOOHV,2023-03-17,ADD,DSL
CHG-000344,9750-BOOHV,2023-07-13,ADD,OnlineSecurity
CHG-000345,8597-CWYHH,2022-04-21,ADD,Fiber optic
CHG-000346,8597-CWYHH,2022-05-21,ADD,StreamingTV
CHG-000347,8597-CWYHH,2025-05-21,ADD,StreamingMovies
CHG-000348,0486-HECZI,2021-04-26,ADD,Fiber optic
CHG-000349,0486-HECZI,2022-08-21,ADD,OnlineSecurity
CHG-000350,0486-HECZI,2022-05-29,ADD,OnlineBackup
CHG-000351,0486-HECZI,2023-11-07,ADD,StreamingTV
CHG-000352,4549-ZDQYY,2021-07-25,ADD,DSL
CHG-000353,4549-ZDQYY,2025-08-20,ADD,OnlineSecurity
CHG-000354,4549-ZDQYY,2024-11-18,ADD,DeviceProtection
CHG-000355,4549-ZDQYY,2023-11-26,ADD,TechSupport
CHG-000356,5712-AHQNN,2022-04-21,ADD,Fiber optic
CHG-000357,5712-AHQNN,2022-10-19,ADD,OnlineBackup
CHG-000358,5712-AHQNN,2023-02-28,ADD,DeviceProtection
CHG-000359,5712-AHQNN,2023-06-19,ADD,StreamingTV
CHG-000360,4846-WHAFZ,2022-10-18,ADD,Fiber optic
CHG-000361,5256-SKJGO,2020-07-30,ADD,DSL
CHG-000362,5256-SKJGO,2022-08-29,ADD,OnlineBackup
CHG-000363,5256-SKJGO,2022-10-07,ADD,TechSupport
CHG-000364,5256-SKJGO,2024-05-19,ADD,StreamingTV
CHG-000365,5256-SKJGO,2022-02-27,ADD,StreamingMovies
CHG-000366,3071-VBYPO,2025-08-03,ADD,Fiber optic
CHG-000367,3071-VBYPO,2025-10-24,ADD,OnlineSecurity
CHG-000368,3071-VBYPO,2025-10-13,ADD,OnlineBackup
CHG-000369,3071-VBYPO,2025-09-29,ADD,StreamingTV
CHG-000370,9560-BBZXK,2022-11-17,ADD,DSL
CHG-000371,9560-BBZXK,2024-11-26,ADD,OnlineSecurity
CHG-000372,5299-RULOA,2025-01-05,ADD,Fiber optic
CHG-000373,5299-RULOA,2025-09-08,ADD,OnlineSecurity
CHG-000374,5299-RULOA,2025-10-17,ADD,StreamingTV
CHG-000375,5299-RULOA,2025-10-29,ADD,StreamingMovies
CHG-000376,9445-ZUEQE,2023-08-14,ADD,Fiber optic
CHG-000377,9445-ZUEQE,2025-05-18,ADD,OnlineBackup
CHG-000378,9445-ZUEQE,2024-07-29,ADD,TechSupport
CHG-000379,1091-SOZGA,2021-03-27,ADD,Fiber optic
CHG-000380,1091-SOZGA,2021-04-11,ADD,DeviceProtection
CHG-000381,1091-SOZGA,2024-07-26,ADD,StreamingTV
CHG-000382,1091-SOZGA,2025-09-30,ADD,StreamingMovies
CHG-000383,0404-SWRVG,2025-08-03,ADD,Fiber optic
CHG-000384,6497-TILVL,2025-04-05,ADD,DSL
CHG-000385,6497-TILVL,2025-04-20,ADD,OnlineSecurity
CHG-000386,4622-YNKIJ,2023-02-15,ADD,Fiber optic
CHG-000387,4622-YNKIJ,2024-05-05,ADD,OnlineSecurity
CHG-000388,4622-YNKIJ,2024-05-01,ADD,TechSupport
CHG-000389,4622-YNKIJ,2023-10-04,ADD,StreamingTV
CHG-000390,4412-YLTKF,2023-08-14,ADD,Fiber optic
CHG-000391,4412-YLTKF,2025-08-18,ADD,DeviceProtection
CHG-000392,2639-UGMAZ,2020-01-02,ADD,DSL
CHG-000393,2639-UGMAZ,2021-02-22,ADD,OnlineSecurity
CHG-000394,2639-UGMAZ,2024-08-15,ADD,OnlineBackup
CHG-000395,2639-UGMAZ,2022-01-21,ADD,StreamingTV
CHG-000396,2639-UGMAZ,2024-07-16,ADD,StreamingMovies
CHG-000397,2876-GZYZC,2024-10-07,ADD,Fiber optic
CHG-000398,2876-GZYZC,2024-12-05,ADD,StreamingMovies
CHG-000399,6207-WIOLX,2023-10-13,ADD,DSL
CHG-000400,6207-WIOLX,2025-01-04,ADD,OnlineSecurity
CHG-000401,6207-WIOLX,2024-08-22,ADD,OnlineBackup
CHG-000402,6207-WIOLX,2025-05-29,ADD,DeviceProtection
CHG-000403,6207-WIOLX,2024-11-12,ADD,StreamingTV
CHG-000404,6207-WIOLX,2023-11-21,ADD,StreamingMovies
CHG-000405,6207-WIOLX,2025-09-03,REMOVE,StreamingTV
CHG-000406,8587-XYZSF,2020-05-01,ADD,DSL
CHG-000407,8587-XYZSF,2024-10-29,ADD,TechSupport
