customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn
sdv-id-vhyToQ	Female	0	Yes	Yes	17	Yes	No	Fiber optic	Yes	No	No internet service	No internet service	Yes	Yes	Two year	No	Bank transfer (automatic)	33.35	3354.18	No
sdv-id-lCkBcH	Male	0	No	No	55	Yes	Yes	Fiber optic	Yes	No	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	18.45	925.88	No
sdv-id-uWvJgU	Female	1	No	No	1	Yes	Yes	Fiber optic	No	No internet service	No	No	Yes	Yes	Month-to-month	No	Electronic check	51.85	352.26	No
sdv-id-IZVWRn	Male	0	No	No	24	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	No	No	Month-to-month	Yes	Mailed check	62.21	952.32	No
sdv-id-ZiHHPV	Female	0	No	Yes	2	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	One year	No	Bank transfer (automatic)	20.79	33.21	Yes
sdv-id-vDczXc	Male	0	No	No	28	Yes	No	Fiber optic	No	Yes	No	Yes	No	No	Month-to-month	No	Bank transfer (automatic)	94.31	4256.25	No
sdv-id-yfakMX	Female	0	Yes	Yes	63	Yes	Yes	No	Yes	No	No internet service	No	Yes	No internet service	One year	No	Mailed check	58.79	3258.29	No
sdv-id-fXdKCV	Male	0	No	No	34	Yes	No	No	Yes	No internet service	Yes	No	No internet service	Yes	Month-to-month	Yes	Electronic check	24.04	747.58	No
sdv-id-gAxbXi	Female	0	Yes	No	5	Yes	No phone service	DSL	No	No internet service	Yes	No	Yes	No	Month-to-month	Yes	Electronic check	31.52	72.09	No
sdv-id-wEldtF	Female	0	No	No	62	Yes	Yes	No	No internet service	No	Yes	Yes	No internet service	No internet service	Month-to-month	Yes	Electronic check	34.72	904.49	No
sdv-id-KGHHfj	Female	0	No	No	8	Yes	Yes	Fiber optic	Yes	No	No internet service	No	Yes	Yes	One year	Yes	Electronic check	41.77	187.56	Yes
sdv-id-WtenBH	Male	0	Yes	No	3	Yes	Yes	Fiber optic	Yes	No	No	Yes	No	Yes	Two year	Yes	Credit card (automatic)	38.23	97.43	Yes
sdv-id-XUzRyK	Female	0	No	No	70	Yes	Yes	Fiber optic	No internet service	No internet service	No internet service	Yes	Yes	No internet service	Two year	No	Bank transfer (automatic)	30.98	3173.61	No
sdv-id-ftTiCp	Male	1	No	No	3	Yes	Yes	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	99.35	1493.55	No
sdv-id-IRvvIW	Male	0	Yes	No	17	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	Yes	Mailed check	19.0	189.02	Yes
sdv-id-fDILGu	Female	0	Yes	No	63	Yes	Yes	DSL	No	Yes	No internet service	No	No	No	Two year	Yes	Bank transfer (automatic)	95.56	6760.35	Yes
sdv-id-nsjCjz	Male	0	Yes	No	27	Yes	No phone service	Fiber optic	Yes	Yes	No internet service	Yes	Yes	Yes	Month-to-month	No	Mailed check	89.5	2299.65	Yes
sdv-id-SkGMnK	Male	0	Yes	Yes	68	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Electronic check	33.92	4278.76	No
sdv-id-iACJoG	Female	1	No	No	2	Yes	No	DSL	No	Yes	Yes	No	No	No	Month-to-month	Yes	Electronic check	109.19	927.74	No
sdv-id-KfcYTf	Female	1	No	No	7	Yes	Yes	No	No internet service	No	No internet service	Yes	Yes	No	One year	No	Electronic check	28.38	352.55	No
sdv-id-WMuTmi	Male	0	Yes	Yes	38	Yes	Yes	DSL	No	Yes	Yes	No	No	No internet service	Two year	Yes	Bank transfer (automatic)	59.79	3079.24	No
sdv-id-tRiXhh	Male	0	No	No	1	Yes	No	Fiber optic	Yes	No	Yes	No	No	Yes	Month-to-month	No	Mailed check	20.71	20.15	Yes
sdv-id-GhkfEk	Female	0	Yes	No	66	Yes	Yes	Fiber optic	No	No	No internet service	Yes	Yes	Yes	Two year	No	Credit card (automatic)	88.03	5805.96	No
sdv-id-sBHopM	Female	0	Yes	No	7	Yes	Yes	Fiber optic	No	Yes	No	No	No	No	Two year	Yes	Electronic check	116.88	3020.51	Yes
sdv-id-AvZQqH	Female	0	Yes	No	63	Yes	Yes	Fiber optic	Yes	No internet service	Yes	Yes	Yes	Yes	One year	Yes	Mailed check	74.06	3756.93	No
sdv-id-rnoPUI	Female	1	Yes	No	50	Yes	No	DSL	No internet service	No	Yes	No	No	No	Two year	Yes	Electronic check	92.53	3224.21	No
sdv-id-FQHjXr	Male	0	No	No	33	Yes	No phone service	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	18.46	146.54	No
sdv-id-WECOnu	Female	0	Yes	No	67	Yes	No phone service	DSL	No	No	Yes	No internet service	Yes	No internet service	Two year	No	Credit card (automatic)	18.73	469.93	No
sdv-id-aIIgga	Male	0	Yes	No	61	Yes	Yes	No	No	No internet service	No	No	No	Yes	Two year	Yes	Credit card (automatic)	78.98	3786.27	No
sdv-id-xeuXdq	Female	0	No	Yes	5	Yes	No	DSL	No	Yes	No	No	No	No	One year	Yes	Bank transfer (automatic)	68.66	463.7	Yes
sdv-id-mhzvZc	Male	0	No	No	2	Yes	Yes	Fiber optic	No	No	No	No	No internet service	Yes	Month-to-month	Yes	Electronic check	68.49	75.98	Yes
sdv-id-EVavya	Female	0	No	No	54	Yes	Yes	DSL	Yes	No internet service	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	61.4	3473.88	No
sdv-id-zNbKYX	Male	0	Yes	No	71	Yes	No phone service	Fiber optic	No internet service	No	Yes	Yes	No	No internet service	Two year	No	Bank transfer (automatic)	36.67	7106.86	No
sdv-id-ihbZWG	Female	0	No	No	22	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	109.86	2176.24	No
sdv-id-ZvIkTL	Female	0	No	No	17	Yes	No phone service	Fiber optic	No internet service	No internet service	No internet service	No internet service	Yes	Yes	Month-to-month	No	Mailed check	18.3	34.14	No
sdv-id-VhZavu	Male	0	No	No	1	Yes	No phone service	No	Yes	No internet service	Yes	Yes	Yes	No	Month-to-month	Yes	Bank transfer (automatic)	19.36	31.12	No
sdv-id-VDTZZx	Male	0	Yes	No	45	Yes	Yes	No	Yes	No	No internet service	No	Yes	No internet service	Month-to-month	Yes	Electronic check	60.99	2669.24	Yes
sdv-id-DihKlb	Male	0	No	Yes	11	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	No	Yes	One year	No	Electronic check	68.17	620.71	Yes
sdv-id-jrptEI	Male	1	Yes	No	39	Yes	No	DSL	Yes	No	No	No	No internet service	No	One year	Yes	Electronic check	88.17	4271.86	Yes
sdv-id-XklEJs	Male	1	No	No	22	Yes	No	Fiber optic	Yes	No	Yes	No	No internet service	Yes	Month-to-month	Yes	Mailed check	41.21	1337.2	No
sdv-id-lFrkDC	Male	0	No	No	26	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	103.48	3839.6	No
sdv-id-pedodN	Female	0	No	Yes	29	Yes	No	No	Yes	No internet service	Yes	No	No	Yes	Month-to-month	Yes	Credit card (automatic)	18.81	165.5	No
sdv-id-KFdbft	Female	0	Yes	No	43	Yes	No	No	Yes	No internet service	No internet service	No internet service	Yes	Yes	Two year	Yes	Mailed check	20.2	871.99	Yes
sdv-id-LhgmNT	Female	0	No	No	27	Yes	No	Fiber optic	No	Yes	No internet service	No	Yes	No	One year	No	Bank transfer (automatic)	86.85	4428.35	No
sdv-id-NRokeq	Male	0	No	No	72	Yes	Yes	No	No internet service	Yes	No internet service	Yes	No internet service	No internet service	Two year	No	Credit card (automatic)	44.56	5456.69	No
sdv-id-KiYGdW	Male	0	Yes	No	8	Yes	No phone service	Fiber optic	No	No	No internet service	Yes	No	No	Month-to-month	Yes	Bank transfer (automatic)	20.36	30.58	No
sdv-id-ZAwPaj	Male	0	No	No	44	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	No	Yes	Month-to-month	No	Mailed check	39.29	448.44	No
sdv-id-cXoTDa	Male	1	Yes	No	64	Yes	No	DSL	No	Yes	No	No	Yes	No	Two year	No	Electronic check	89.7	5148.89	No
sdv-id-nQZMTG	Male	0	Yes	Yes	71	Yes	No	Fiber optic	Yes	Yes	No	No	No	No	Month-to-month	Yes	Mailed check	116.09	7602.37	No
sdv-id-UIiIwi	Male	0	No	No	19	Yes	No	Fiber optic	No internet service	No internet service	Yes	Yes	Yes	No internet service	Month-to-month	No	Electronic check	21.92	366.09	Yes
sdv-id-DOpHOP	Male	0	No	No	46	Yes	No phone service	Fiber optic	Yes	No	No internet service	Yes	No internet service	Yes	Month-to-month	Yes	Mailed check	34.5	482.45	No
sdv-id-tsvAIh	Female	0	Yes	No	72	Yes	No	Fiber optic	Yes	Yes	Yes	No	Yes	No internet service	Two year	No	Electronic check	51.47	7167.08	No
sdv-id-GeZCaQ	Male	1	Yes	No	7	Yes	Yes	Fiber optic	No internet service	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	88.4	675.84	No
sdv-id-iiScun	Female	1	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	91.94	91.68	Yes
sdv-id-IKKTHg	Female	0	No	No	26	Yes	Yes	Fiber optic	No	No	No	No internet service	No	Yes	Month-to-month	Yes	Credit card (automatic)	57.34	855.84	No
sdv-id-GUmrXr	Male	0	Yes	Yes	11	Yes	No phone service	DSL	No	No	No	No	No	Yes	Two year	Yes	Mailed check	71.28	1448.87	Yes
sdv-id-EOlPQi	Male	0	Yes	Yes	4	Yes	Yes	No	No internet service	No internet service	No internet service	Yes	No internet service	Yes	Two year	No	Electronic check	22.67	265.13	Yes
sdv-id-fyXpIr	Female	0	No	No	67	Yes	Yes	DSL	No	Yes	No	No	Yes	No	Two year	Yes	Electronic check	118.65	8474.94	Yes
sdv-id-YTzysP	Female	1	No	No	71	Yes	No	Fiber optic	No internet service	No	No internet service	Yes	Yes	No internet service	Two year	Yes	Electronic check	80.0	5063.38	Yes
sdv-id-buxUvC	Male	1	No	Yes	1	Yes	No	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	No	Electronic check	43.74	25.57	Yes
sdv-id-knENFh	Male	0	No	Yes	69	Yes	Yes	DSL	No internet service	No	No internet service	No internet service	Yes	Yes	Two year	Yes	Mailed check	56.14	5532.82	No
sdv-id-chMPpy	Female	0	Yes	No	35	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	No	No	One year	Yes	Mailed check	118.55	6872.37	No
sdv-id-PSPDQX	Female	0	No	Yes	69	Yes	No	DSL	No	Yes	Yes	Yes	No	No	Two year	No	Mailed check	47.94	2828.94	No
sdv-id-cmmmBI	Male	0	Yes	No	1	Yes	No	DSL	No	No	No	Yes	No	No	Month-to-month	Yes	Electronic check	68.36	63.32	Yes
sdv-id-heeHhx	Female	0	No	Yes	3	Yes	No	Fiber optic	No	No internet service	Yes	Yes	Yes	No	Month-to-month	No	Electronic check	48.7	308.97	No
sdv-id-VKIhzf	Male	0	Yes	No	36	No	No	DSL	No	Yes	No	No	No	No	Month-to-month	No	Credit card (automatic)	77.68	1504.11	Yes
sdv-id-aVvRDn	Female	0	Yes	No	33	Yes	Yes	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Electronic check	117.47	5021.52	No
sdv-id-lQbejb	Female	0	No	No	10	Yes	No	Fiber optic	No	No	No	Yes	No	Yes	Month-to-month	No	Bank transfer (automatic)	59.76	809.6	No
sdv-id-bxeVxk	Female	0	No	Yes	24	No	No phone service	Fiber optic	Yes	No internet service	Yes	No internet service	Yes	No	Two year	No	Mailed check	21.89	41.76	No
sdv-id-DgqEFs	Female	0	No	No	50	Yes	No	Fiber optic	No	No internet service	No internet service	No	Yes	No	Two year	Yes	Bank transfer (automatic)	50.61	3075.56	No
sdv-id-lTpKgB	Male	1	No	No	24	Yes	No	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	105.9	5112.73	No
sdv-id-QaatQJ	Female	0	No	No	45	Yes	No	DSL	Yes	Yes	Yes	No	No	Yes	One year	Yes	Credit card (automatic)	85.43	2871.56	No
