customerID,data_aquisicao,canal_aquisicao,codigo_campanha
4648-YPBTM,2021-06-01,Telefone,OUTBOUND_CALL
2907-ILJBN,2024-12-01,Loja Física,EVENTO_LOCAL
6345-FZOQH,2020-02-01,Loja Física,EVENTO_LOCAL
3376-BMGFE,2025-07-01,Website,PPC_GOOGLE
5997-OPVFA,2019-11-01,Loja Física,EVENTO_LOCAL
3445-HXXGF,2021-01-01,Website,PPC_GOOGLE
1159-WFSGR,2024-07-01,Telefone,INBOUND
7654-YWJUF,2022-04-01,Loja Física,EVENTO_LOCAL
1875-QIVME,2025-09-01,Website,BLACKFRIDAY
6727-IOTLZ,2024-09-01,Loja Física,WALK_IN
0691-JVSYA,2021-06-01,Loja Física,EVENTO_LOCAL
5918-VUKWP,2023-03-01,Parceiro,REFERRAL
1744-JHKYS,2023-01-01,Website,BLACKFRIDAY
2656-FMOKZ,2024-08-01,Telefone,OUTBOUND_CALL
2070-FNEXE,2025-04-01,Telefone,OUTBOUND_CALL
5947-SGKCL,2024-08-01,Website,BLACKFRIDAY
3712-PKXZA,2020-10-01,Telefone,OUTBOUND_CALL
6317-YPKDH,2025-10-01,Website,BLACKFRIDAY
6582-OIVSP,2025-10-01,Website,ORGANIC
9367-WXLCH,2025-03-01,Website,ORGANIC
5524-KHNJP,2023-02-01,Parceiro,PARTNER_SITE
1918-ZBFQJ,2024-10-01,Telefone,INBOUND
1024-GUALD,2025-10-01,Website,ORGANIC
4827-USJHP,2024-03-01,Website,PPC_GOOGLE
8167-GJLRN,2025-08-01,Telefone,OUTBOUND_CALL
0956-SYCWG,2024-10-01,Parceiro,REFERRAL
8017-UVSZU,2022-07-01,Website,BLACKFRIDAY
7100-FQPRV,2022-04-01,Loja Física,EVENTO_LOCAL
2472-OVKUP,2025-05-01,Telefone,INBOUND
2984-RGEYA,2020-02-01,Loja Física,EVENTO_LOCAL
9680-NIAUV,2019-11-01,Telefone,INBOUND
2146-EGVDT,2020-12-01,Loja Física,WALK_IN
2604-IJPDU,2024-03-01,Website,BLACKFRIDAY
9178-JHUVJ,2023-11-01,Loja Física,EVENTO_LOCAL
6168-YBYNP,2020-12-01,Website,PPC_GOOGLE
7255-SSFBC,2019-11-01,Loja Física,EVENTO_LOCAL
3645-DEYGF,2025-10-01,Website,PPC_GOOGLE
9323-HGFWY,2023-08-01,Parceiro,PARTNER_SITE
8544-GOQSH,2024-09-01,Website,PPC_GOOGLE
3363-DTIVD,2019-12-01,Loja Física,EVENTO_LOCAL
7018-WBJNK,2024-10-01,Telefone,OUTBOUND_CALL
9142-KZXOP,2022-03-01,Website,ORGANIC
7674-YTAFD,2023-02-01,Telefone,OUTBOUND_CALL
6348-SNFUS,2019-11-01,Loja Física,WALK_IN
1285-OKIPP,2025-10-01,Telefone,OUTBOUND_CALL
7825-ECJRF,2024-04-01,Website,BLACKFRIDAY
1347-KTTTA,2020-07-01,Parceiro,PARTNER_SITE
7841-TZDMQ,2025-09-01,Website,ORGANIC
4195-NZGTA,2025-10-01,Telefone,OUTBOUND_CALL
7157-SMCFK,2020-10-01,Telefone,INBOUND
4709-LKHYG,2023-06-01,Loja Física,EVENTO_LOCAL
2504-DSHIH,2023-12-01,Website,ORGANIC
0699-NDKJM,2021-02-01,Telefone,TV_ADS_Q3
9286-BHDQG,2019-11-01,Parceiro,PARTNER_SITE
0230-WEQUW,2020-05-01,Telefone,OUTBOUND_CALL
2040-LDIWQ,2020-06-01,Telefone,TV_ADS_Q3
6496-JDSSB,2025-03-01,Website,BLACKFRIDAY
9408-SSNVZ,2025-07-01,Website,ORGANIC
4443-EMBNA,2019-12-01,Loja Física,EVENTO_LOCAL
6469-MRVET,2025-10-01,Loja Física,EVENTO_LOCAL
0742-MOABM,2025-07-01,Website,BLACKFRIDAY
5961-VUSRV,2024-11-01,Loja Física,WALK_IN
6778-JFCMK,2023-11-01,Parceiro,PARTNER_SITE
6341-JVQGF,2023-04-01,Loja Física,EVENTO_LOCAL
2232-DMLXU,2025-10-01,Website,PPC_GOOGLE
4811-JBUVU,2023-05-01,Website,BLACKFRIDAY
0945-TSONX,2021-12-01,Telefone,INBOUND
2651-ZCBXV,2021-05-01,Loja Física,WALK_IN
3316-UWXUY,2021-09-01,Website,BLACKFRIDAY
8937-RDTHP,2025-10-01,Telefone,OUTBOUND_CALL
7083-MIOPC,2019-11-01,Telefone,INBOUND
1984-GPTEH,2023-06-01,Telefone,OUTBOUND_CALL
1251-KRREG,2025-09-01,Telefone,INBOUND
0621-JFHOL,2025-01-01,Telefone,OUTBOUND_CALL
9903-LYSAB,2024-05-01,Website,BLACKFRIDAY
0094-OIFMO,2024-12-01,Website,BLACKFRIDAY
9227-UAQFT,2024-07-01,Loja Física,WALK_IN
7301-ABVAD,2019-11-01,Loja Física,WALK_IN
6614-FHDBO,2019-11-01,Loja Física,EVENTO_LOCAL
7576-ASEJU,2022-06-01,Loja Física,EVENTO_LOCAL
9058-HRZSV,2020-06-01,Website,ORGANIC
4522-AKYLR,2024-10-01,Website,PPC_GOOGLE
0221-WMXNQ,2025-07-01,Website,PPC_GOOGLE
0303-UNCIP,2022-06-01,Loja Física,EVENTO_LOCAL
9947-OTFQU,2024-08-01,Website,ORGANIC
0322-YINQP,2025-10-01,Telefone,INBOUND
0959-WHOKV,2022-05-01,Telefone,OUTBOUND_CALL
4075-JFPGR,2021-08-01,Loja Física,WALK_IN
4629-NRXKX,2025-09-01,Website,PPC_GOOGLE
9514-JDSKI,2025-10-01,Website,BLACKFRIDAY
3282-ZISZV,2023-03-01,Telefone,INBOUND
3675-YDUPJ,2025-01-01,Website,PPC_GOOGLE
4111-BNXIF,2020-04-01,Telefone,TV_ADS_Q3
7017-VFHAY,2020-10-01,Loja Física,WALK_IN
6655-LHBYW,2021-09-01,Loja Física,EVENTO_LOCAL
4959-JOSRX,2025-09-01,Website,PPC_GOOGLE
5046-NUHWD,2023-06-01,Website,ORGANIC
7273-TEFQD,2025-08-01,Website,BLACKFRIDAY
3606-TWKGI,2024-10-01,Telefone,OUTBOUND_CALL
7529-ZDFXI,2021-02-01,Website,PPC_GOOGLE
7605-BDWDC,2023-04-01,Parceiro,REFERRAL
1950-KSVVJ,2022-02-01,Parceiro,PARTNER_SITE
0123-CRBRT,2020-10-01,Loja Física,WALK_IN
6292-TOSSS,2021-09-01,Loja Física,WALK_IN
3197-ARFOY,2024-04-01,Website,BLACKFRIDAY
6323-AYBRX,2020-12-01,Telefone,INBOUND
7014-ZZXAW,2019-12-01,Telefone,OUTBOUND_CALL
4385-GZQXV,2024-07-01,Website,PPC_GOOGLE
7633-MVPUY,2021-02-01,Telefone,TV_ADS_Q3
6366-ZGQGL,2025-10-01,Website,BLACKFRIDAY
4716-HHKQH,2024-03-01,Website,BLACKFRIDAY
5940-AHUHD,2025-10-01,Website,ORGANIC
6432-TWQLB,2025-06-01,Telefone,INBOUND
4484-GLZOU,2021-07-01,Website,BLACKFRIDAY
3179-GBRWV,2024-02-01,Website,BLACKFRIDAY
8645-KWHJO,2024-09-01,Website,BLACKFRIDAY
4130-MZLCC,2025-06-01,Website,PPC_GOOGLE
0314-TKOSI,2025-05-01,Website,PPC_GOOGLE
8229-MYEJZ,2025-01-01,Website,PPC_GOOGLE
2080-SRCDE,2025-10-01,Website,PPC_GOOGLE
9577-WJVCQ,2020-03-01,Website,BLACKFRIDAY
9512-UIBFX,2024-05-01,Website,ORGANIC
6202-DYYFX,2024-01-01,Parceiro,REFERRAL
3808-HFKDE,2024-03-01,Website,ORGANIC
5583-SXDAG,2025-10-01,Telefone,INBOUND
3488-PGMQJ,2025-03-01,Website,ORGANIC
3580-REOAC,2025-01-01,Telefone,OUTBOUND_CALL
7534-BFESC,2023-11-01,Website,PPC_GOOGLE
3727-OWVYD,2022-12-01,Parceiro,REFERRAL
2294-SALNE,2023-12-01,Loja Física,WALK_IN
4847-TAJYI,2025-05-01,Website,ORGANIC
1563-IWQEX,2024-11-01,Website,PPC_GOOGLE
8203-XJZRC,2025-10-01,Website,ORGANIC
6556-DBKZF,2019-12-01,Parceiro,REFERRAL
6851-WEFYX,2022-12-01,Website,PPC_GOOGLE
2985-JUUBZ,2022-07-01,Website,BLACKFRIDAY
6390-DSAZX,2025-10-01,Website,PPC_GOOGLE
0895-LMRSF,2023-12-01,Loja Física,WALK_IN
8098-LLAZX,2025-07-01,Telefone,TV_ADS_Q3
8266-VBFQL,2025-07-01,Telefone,OUTBOUND_CALL
8181-YHCMF,2020-03-01,Loja Física,WALK_IN
2240-HSJQD,2022-09-01,Website,BLACKFRIDAY
1248-DYXUB,2021-07-01,Loja Física,WALK_IN
0265-EDXBD,2023-03-01,Telefone,TV_ADS_Q3
4115-BNPJY,2023-06-01,Loja Física,EVENTO_LOCAL
3167-SNQPL,2022-09-01,Website,BLACKFRIDAY
4091-TVOCN,2021-11-01,Loja Física,WALK_IN
1098-TDVUQ,2025-10-01,Telefone,TV_ADS_Q3
7277-OZCGZ,2024-01-01,Website,ORGANIC
1557-EMYVT,2022-04-01,Parceiro,REFERRAL
2799-ARNLO,2025-06-01,Telefone,INBOUND
7563-BIUPC,2025-06-01,Telefone,OUTBOUND_CALL
5027-YOCXN,2021-08-01,Loja Física,EVENTO_LOCAL
3973-SKMLN,2019-12-01,Loja Física,WALK_IN
2321-OMBXY,2022-09-01,Loja Física,EVENTO_LOCAL
2840-XANRC,2023-11-01,Telefone,TV_ADS_Q3
6745-JEFZB,2022-12-01,Website,ORGANIC
5020-ZSTTY,2021-05-01,Telefone,OUTBOUND_CALL
9880-TDQAC,2019-11-01,Telefone,TV_ADS_Q3
8705-WZCYL,2025-10-01,Website,BLACKFRIDAY
7102-JJVTX,2025-02-01,Parceiro,REFERRAL
8626-PTQGE,2020-02-01,Parceiro,REFERRAL
4983-CLMLV,2021-07-01,Telefone,OUTBOUND_CALL
5701-YVSVF,2024-12-01,Website,PPC_GOOGLE
5804-LEPIM,2025-09-01,Website,BLACKFRIDAY
5697-GOMBF,2023-07-01,Website,ORGANIC
2739-CACDQ,2024-06-01,Website,BLACKFRIDAY
9385-EHGDO,2022-12-01,Telefone,INBOUND
9498-FIMXL,2025-03-01,Parceiro,PARTNER_SITE
2379-GYFLQ,2022-01-01,Parceiro,PARTNER_SITE
0122-OAHPZ,2025-04-01,Telefone,INBOUND
2868-SNELZ,2025-09-01,Website,PPC_GOOGLE
4322-RCYMT,2020-03-01,Parceiro,REFERRAL
6680-NENYN,2022-04-01,Loja Física,EVENTO_LOCAL
2088-IEBAU,2020-03-01,Loja Física,EVENTO_LOCAL
7982-VCELR,2022-11-01,Website,ORGANIC
1343-EHPYB,2020-08-01,Telefone,INBOUND
6035-BXTTY,2023-03-01,Website,ORGANIC
6885-PKOAM,2019-12-01,Telefone,INBOUND
7520-HQWJU,2020-05-01,Website,PPC_GOOGLE
9639-BUJXT,2020-08-01,Loja Física,WALK_IN
5924-SNGKP,2022-06-01,Loja Física,EVENTO_LOCAL
0021-IKXGC,2025-10-01,Telefone,INBOUND
2034-GDRCN,2025-09-01,Website,PPC_GOOGLE
8966-SNIZF,2020-01-01,Loja Física,EVENTO_LOCAL
6243-OZGFH,2023-12-01,Telefone,INBOUND
4654-DLAMQ,2020-07-01,Telefone,INBOUND
0513-RBGPE,2022-10-01,Telefone,OUTBOUND_CALL
5160-UXJED,2024-06-01,Loja Física,WALK_IN
4115-NZRKS,2025-04-01,Telefone,INBOUND
0219-YTZUE,2025-07-01,Website,BLACKFRIDAY
0623-IIHUG,2024-02-01,Website,PPC_GOOGLE
4572-DVCGN,2025-01-01,Website,ORGANIC
3351-NGXYI,2024-07-01,Website,PPC_GOOGLE
8984-EYLLL,2020-07-01,Telefone,OUTBOUND_CALL
9057-MSWCO,2023-08-01,Telefone,INBOUND
9833-TGFHX,2022-05-01,Loja Física,WALK_IN
9294-TDIPC,2025-06-01,Website,PPC_GOOGLE
5229-DTFYB,2022-06-01,Telefone,TV_ADS_Q3
0104-PPXDV,2021-01-01,Loja Física,EVENTO_LOCAL
5176-LMJXE,2021-12-01,Loja Física,EVENTO_LOCAL
3583-KRKMD,2024-05-01,Website,ORGANIC
1010-DIAUQ,2025-06-01,Website,BLACKFRIDAY
9069-LGEUL,2023-12-01,Telefone,INBOUND
7302-ZHMHP,2025-10-01,Website,ORGANIC
9571-EDEBV,2019-12-01,Telefone,TV_ADS_Q3
3520-FJGCV,2019-11-01,Telefone,OUTBOUND_CALL
6563-VRERX,2023-02-01,Loja Física,EVENTO_LOCAL
0259-GBZSH,2025-09-01,Website,BLACKFRIDAY
6122-EFVKN,2023-11-01,Parceiro,REFERRAL
2805-EDJPQ,2021-03-01,Loja Física,EVENTO_LOCAL
6862-CQUMB,2022-10-01,Website,ORGANIC
7156-MXBJE,2022-04-01,Telefone,TV_ADS_Q3
6158-HDPXZ,2025-10-01,Website,BLACKFRIDAY
9601-BRXPO,2023-10-01,Website,ORGANIC
2863-IMQDR,2020-10-01,Telefone,OUTBOUND_CALL
5686-CMAWK,2024-06-01,Telefone,INBOUND
5651-CRHKQ,2022-06-01,Loja Física,EVENTO_LOCAL
6905-NIQIN,2025-10-01,Website,ORGANIC
8204-YJCLA,2019-11-01,Loja Física,EVENTO_LOCAL
5167-ZFFMM,2025-10-01,Website,PPC_GOOGLE
6583-SZVGP,2021-11-01,Loja Física,EVENTO_LOCAL
4895-TMWIR,2024-12-01,Website,ORGANIC
0533-BNWKF,2021-04-01,Website,PPC_GOOGLE
1708-PBBOA,2022-05-01,Loja Física,EVENTO_LOCAL
8782-LKFPK,2022-03-01,Telefone,INBOUND
5522-JBWMO,2025-10-01,Website,PPC_GOOGLE
3597-MVHJT,2023-08-01,Website,BLACKFRIDAY
9774-NRNAU,2023-08-01,Website,ORGANIC
0224-RLWWD,2025-09-01,Website,PPC_GOOGLE
9967-ATRFS,2024-04-01,Telefone,OUTBOUND_CALL
3951-NJCVI,2022-05-01,Website,ORGANIC
2977-CEBSX,2020-05-01,Loja Física,EVENTO_LOCAL
0177-PXBAT,2023-02-01,Website,ORGANIC
6599-CEBNN,2023-01-01,Telefone,INBOUND
2519-ERQOJ,2023-02-01,Telefone,OUTBOUND_CALL
5876-QMYLD,2023-12-01,Parceiro,PARTNER_SITE
2277-AXSDC,2023-03-01,Loja Física,EVENTO_LOCAL
9442-JTWDL,2024-12-01,Loja Física,WALK_IN
0979-PHULV,2020-02-01,Website,BLACKFRIDAY
3067-SVMTC,2020-03-01,Telefone,OUTBOUND_CALL
5495-GPSRW,2024-03-01,Telefone,INBOUND
7606-BPHHN,2019-11-01,Parceiro,REFERRAL
4742-DRORA,2020-11-01,Loja Física,WALK_IN
0111-KLBQG,2023-03-01,Website,BLACKFRIDAY
4800-VHZKI,2025-10-01,Telefone,OUTBOUND_CALL
7989-CHGTL,2025-10-01,Telefone,INBOUND
0334-GDDSO,2025-08-01,Website,PPC_GOOGLE
4163-NCJAK,2022-01-01,Loja Física,WALK_IN
5233-AOZUF,2023-06-01,Website,PPC_GOOGLE
5973-EJGDP,2021-08-01,Telefone,TV_ADS_Q3
1996-DBMUS,2021-11-01,Website,PPC_GOOGLE
7916-VCCPB,2024-07-01,Website,BLACKFRIDAY
4686-GEFRM,2020-01-01,Loja Física,EVENTO_LOCAL
5249-QYHEX,2022-07-01,Telefone,INBOUND
0578-SKVMF,2024-01-01,Website,ORGANIC
5564-NEMQO,2025-10-01,Telefone,INBOUND
2233-FAGXV,2025-06-01,Website,PPC_GOOGLE
5605-IYGFG,2025-04-01,Website,ORGANIC
7663-ZTEGJ,2023-06-01,Telefone,OUTBOUND_CALL
3935-TBRZZ,2022-03-01,Telefone,INBOUND
8111-BKVDS,2025-01-01,Telefone,TV_ADS_Q3
2055-SIFSS,2021-04-01,Telefone,TV_ADS_Q3
2806-MLNTI,2021-07-01,Loja Física,EVENTO_LOCAL
8734-DKSTZ,2025-01-01,Telefone,TV_ADS_Q3
4360-PNRQB,2024-05-01,Website,ORGANIC
6152-ONASV,2020-03-01,Parceiro,PARTNER_SITE
9063-ZGTUY,2020-10-01,Website,PPC_GOOGLE
7781-HVGMK,2019-11-01,Loja Física,EVENTO_LOCAL
2181-UAESM,2025-09-01,Telefone,TV_ADS_Q3
2957-LOLHO,2024-11-01,Telefone,OUTBOUND_CALL
6048-NJXHX,2022-06-01,Telefone,INBOUND
2320-SLKMB,2023-09-01,Website,ORGANIC
4980-URKXC,2022-11-01,Parceiro,PARTNER_SITE
4376-KFVRS,2019-11-01,Telefone,OUTBOUND_CALL
5886-VLQVU,2022-12-01,Website,ORGANIC
3577-AMVUX,2025-10-01,Website,ORGANIC
0771-WLCLA,2024-07-01,Telefone,OUTBOUND_CALL
5628-RKIFK,2021-10-01,Website,BLACKFRIDAY
0206-TBWLC,2021-05-01,Telefone,INBOUND
2937-FTHUR,2024-05-01,Telefone,OUTBOUND_CALL
1910-FMXJM,2022-11-01,Website,BLACKFRIDAY
7752-XUSCI,2020-11-01,Website,ORGANIC
4110-PFEUZ,2025-10-01,Website,PPC_GOOGLE
0732-OCQOC,2021-07-01,Loja Física,EVENTO_LOCAL
5168-MSWXT,2025-03-01,Website,PPC_GOOGLE
1090-ESELR,2019-11-01,Parceiro,REFERRAL
8592-PLTMQ,2020-07-01,Telefone,INBOUND
5760-WRAHC,2024-01-01,Website,PPC_GOOGLE
8847-GEOOQ,2020-11-01,Website,ORGANIC
0256-LTHVJ,2023-07-01,Website,ORGANIC
4785-FCIFB,2020-10-01,Telefone,INBOUND
8313-NDOIA,2023-11-01,Website,BLACKFRIDAY
5149-CUZUJ,2023-07-01,Loja Física,EVENTO_LOCAL
0942-KOWSM,2023-05-01,Telefone,TV_ADS_Q3
4237-CLSMM,2025-09-01,Website,PPC_GOOGLE
1452-VOQCH,2025-10-01,Website,BLACKFRIDAY
4719-UMSIY,2025-05-01,Website,ORGANIC
6614-VBEGU,2023-11-01,Website,ORGANIC
